O*NET-SOC Code,Title,Workplace Example,Element ID,Element Name,Hot Technology,In Demand,Normalized_Tool_Name
11-1011.03,Chief Sustainability Officers,Microsoft Access,2.E.6.f,Data base user interface and query software,Y,N,Microsoft Access
11-1011.03,Chief Sustainability Officers,Microsoft Dynamics GP,2.E.2.b,Enterprise resource planning ERP software,N,N,Microsoft Dynamics GP
11-1011.03,Chief Sustainability Officers,Microsoft Excel,2.E.4.i,Spreadsheet software,Y,Y,Microsoft Excel
11-1011.03,Chief Sustainability Officers,Microsoft Office software,2.E.1.k,Office suite software,Y,Y,Microsoft Office software
11-1011.03,Chief Sustainability Officers,Microsoft Outlook,2.E.16.a,Electronic mail software,Y,Y,Microsoft Outlook
11-1011.03,Chief Sustainability Officers,Microsoft PowerPoint,2.E.4.f,Presentation software,Y,Y,Microsoft PowerPoint
11-1011.03,Chief Sustainability Officers,Microsoft Project,2.E.1.e,Project management software,Y,N,Microsoft Project
11-1011.03,Chief Sustainability Officers,Microsoft SharePoint,2.E.5.b,Document management software,Y,N,Microsoft SharePoint
11-1011.03,Chief Sustainability Officers,Microsoft Word,2.E.4.d,Word processing software,Y,N,Microsoft Word
11-1011.03,Chief Sustainability Officers,Salesforce software,2.E.6.c,Customer relationship management CRM software,Y,N,Salesforce software
11-1011.03,Chief Sustainability Officers,SAP software,2.E.2.b,Enterprise resource planning ERP software,Y,N,SAP software
11-1011.03,Chief Sustainability Officers,Scheduling software,2.E.4.h,Calendar and scheduling software,N,N,Scheduling software
11-1011.03,Chief Sustainability Officers,Structure query language SQL,2.E.6.f,Data base user interface and query software,N,N,Structure query language SQL
11-1011.03,Chief Sustainability Officers,Tableau,2.E.6.m,Business intelligence and data analysis software,Y,N,Tableau
11-1011.03,Chief Sustainability Officers,Teleconferencing software,2.E.16.b,Video conferencing software,N,N,Teleconferencing software
11-1011.03,Chief Sustainability Officers,Web browser software,2.E.10.e,Internet browser software,N,N,Web browser software
11-1021.00,General and Operations Managers,Act!,2.E.6.c,Customer relationship management CRM software,N,N,Act!
11-1021.00,General and Operations Managers,ActionWare,2.E.6.c,Customer relationship management CRM software,N,N,ActionWare
11-1021.00,General and Operations Managers,Adobe Acrobat,2.E.5.b,Document management software,Y,N,Adobe Acrobat
11-1021.00,General and Operations Managers,Adobe Creative Cloud software,2.E.4.b,Graphics or photo imaging software,Y,N,Adobe Creative Cloud software
11-1021.00,General and Operations Managers,Adobe Photoshop,2.E.4.b,Graphics or photo imaging software,Y,N,Adobe Photoshop
11-1021.00,General and Operations Managers,ADP Workforce Now,2.E.1.c,Human resources software,N,N,ADP Workforce Now
11-1021.00,General and Operations Managers,Airtable,2.E.6.f,Data base user interface and query software,N,N,Airtable
11-1021.00,General and Operations Managers,Amazon Web Services AWS software,2.E.6.f,Data base user interface and query software,Y,N,Amazon Web Services AWS software
11-1021.00,General and Operations Managers,AMG Teleran SalesInSync,2.E.6.c,Customer relationship management CRM software,N,N,AMG Teleran SalesInSync
11-1021.00,General and Operations Managers,Apache Hadoop,2.E.6.d,Data base management system software,Y,N,Apache Hadoop
11-1021.00,General and Operations Managers,Apple Final Cut Pro,2.E.4.c,Video creation and editing software,N,N,Apple Final Cut Pro
11-1021.00,General and Operations Managers,Apple Keynote,2.E.4.f,Presentation software,N,N,Apple Keynote
11-1021.00,General and Operations Managers,Apple macOS,2.E.13.c,Operating system software,Y,N,Apple macOS
11-1021.00,General and Operations Managers,Atlassian Confluence,2.E.1.e,Project management software,Y,N,Atlassian Confluence
11-1021.00,General and Operations Managers,Atlassian JIRA,2.E.5.a,Content workflow software,Y,N,Atlassian JIRA
11-1021.00,General and Operations Managers,Autodesk AutoCAD,2.E.9.c,Computer aided design CAD software,Y,N,Autodesk AutoCAD
11-1021.00,General and Operations Managers,Avidian Technologies Prophet,2.E.6.c,Customer relationship management CRM software,N,N,Avidian Technologies Prophet
11-1021.00,General and Operations Managers,Blackbaud The Raiser's Edge,2.E.6.c,Customer relationship management CRM software,N,N,Blackbaud The Raiser's Edge
11-1021.00,General and Operations Managers,Blackboard software,2.E.6.f,Data base user interface and query software,N,N,Blackboard software
11-1021.00,General and Operations Managers,Citrix cloud computing software,2.E.12.a,Access software,N,N,Citrix cloud computing software
11-1021.00,General and Operations Managers,CNC Mastercam,2.E.9.k,Computer aided manufacturing CAM software,N,N,CNC Mastercam
11-1021.00,General and Operations Managers,Customer information control system CICS,2.E.6.l,Transaction server software,N,N,Customer information control system CICS
11-1021.00,General and Operations Managers,Database software,2.E.6.f,Data base user interface and query software,N,N,Database software
11-1021.00,General and Operations Managers,Datawatch Monarch,2.E.6.g,Data mining software,N,N,Datawatch Monarch
11-1021.00,General and Operations Managers,Deacom ERP,2.E.2.b,Enterprise resource planning ERP software,N,N,Deacom ERP
11-1021.00,General and Operations Managers,Delphi Technology,2.E.2.d,Financial analysis software,N,N,Delphi Technology
11-1021.00,General and Operations Managers,Dropbox,2.E.16.i,Cloud-based data access and sharing software,N,N,Dropbox
11-1021.00,General and Operations Managers,Dynamic Energy Systems MedAct,2.E.9.i,Medical software,N,N,Dynamic Energy Systems MedAct
11-1021.00,General and Operations Managers,Eko,2.E.10.b,Desktop communications software,N,N,Eko
11-1021.00,General and Operations Managers,Evernote,2.E.4.d,Word processing software,N,N,Evernote
11-1021.00,General and Operations Managers,Extensible markup language XML,2.E.7.c,Enterprise application integration software,Y,N,Extensible markup language XML
11-1021.00,General and Operations Managers,Facebook,2.E.4.g,Web page creation and editing software,Y,N,Facebook
11-1021.00,General and Operations Managers,FileMaker Pro,2.E.6.f,Data base user interface and query software,N,N,FileMaker Pro
11-1021.00,General and Operations Managers,Flipgrid,2.E.4.c,Video creation and editing software,N,N,Flipgrid
11-1021.00,General and Operations Managers,Fund accounting software,2.E.2.a,Accounting software,N,N,Fund accounting software
11-1021.00,General and Operations Managers,Geographic information system GIS software,2.E.8.h,Geographic information system,N,N,Geographic information system GIS software
11-1021.00,General and Operations Managers,Google Ads,2.E.1.l,Sales and marketing software,N,N,Google Ads
11-1021.00,General and Operations Managers,Google Analytics,2.E.6.g,Data mining software,Y,N,Google Analytics
11-1021.00,General and Operations Managers,Google Docs,2.E.4.d,Word processing software,Y,N,Google Docs
11-1021.00,General and Operations Managers,Google Drive,2.E.16.i,Cloud-based data access and sharing software,N,N,Google Drive
11-1021.00,General and Operations Managers,Google Slides,2.E.4.f,Presentation software,N,N,Google Slides
11-1021.00,General and Operations Managers,GroupMe,2.E.16.d,Instant messaging software,N,N,GroupMe
11-1021.00,General and Operations Managers,HEAT Software GoldMine,2.E.6.c,Customer relationship management CRM software,N,N,HEAT Software GoldMine
11-1021.00,General and Operations Managers,HubSpot software,2.E.1.l,Sales and marketing software,Y,N,HubSpot software
11-1021.00,General and Operations Managers,Human resource management software HRMS,2.E.1.c,Human resources software,N,N,Human resource management software HRMS
11-1021.00,General and Operations Managers,IBM Cognos Impromptu,2.E.6.m,Business intelligence and data analysis software,N,N,IBM Cognos Impromptu
11-1021.00,General and Operations Managers,IBM Domino,2.E.12.b,Communications server software,N,N,IBM Domino
11-1021.00,General and Operations Managers,IBM InfoSphere DataStage,2.E.7.c,Enterprise application integration software,N,N,IBM InfoSphere DataStage
11-1021.00,General and Operations Managers,IBM Notes,2.E.16.a,Electronic mail software,N,N,IBM Notes
11-1021.00,General and Operations Managers,IBM Power Systems software,2.E.17.a,Enterprise system management software,N,N,IBM Power Systems software
11-1021.00,General and Operations Managers,IBM SPSS Statistics,2.E.9.d,Analytical or scientific software,Y,N,IBM SPSS Statistics
11-1021.00,General and Operations Managers,InnQuest Software roomMaster,2.E.9.b,Facilities management software,N,N,InnQuest Software roomMaster
11-1021.00,General and Operations Managers,Intuit QuickBooks,2.E.2.a,Accounting software,Y,N,Intuit QuickBooks
11-1021.00,General and Operations Managers,Job control language JCL,2.E.13.c,Operating system software,N,N,Job control language JCL
11-1021.00,General and Operations Managers,Kronos Workforce Payroll,2.E.2.e,Time accounting software,N,N,Kronos Workforce Payroll
11-1021.00,General and Operations Managers,Kronos Workforce Timekeeper,2.E.2.e,Time accounting software,Y,N,Kronos Workforce Timekeeper
11-1021.00,General and Operations Managers,LexisNexis,2.E.6.h,Information retrieval or search software,N,N,LexisNexis
11-1021.00,General and Operations Managers,LinkedIn,2.E.4.g,Web page creation and editing software,N,N,LinkedIn
11-1021.00,General and Operations Managers,LSA Visual Easy Lean,2.E.1.d,Materials requirements planning logistics and supply chain software,N,N,LSA Visual Easy Lean
11-1021.00,General and Operations Managers,Marketo Marketing Automation,2.E.1.l,Sales and marketing software,Y,N,Marketo Marketing Automation
11-1021.00,General and Operations Managers,Maximizer Software Maximizer Enterprise,2.E.6.c,Customer relationship management CRM software,N,N,Maximizer Software Maximizer Enterprise
11-1021.00,General and Operations Managers,McAfee,2.E.14.d,Transaction security and virus protection software,N,N,McAfee
11-1021.00,General and Operations Managers,Medical condition coding software,2.E.9.i,Medical software,N,N,Medical condition coding software
11-1021.00,General and Operations Managers,Microsoft Access,2.E.6.f,Data base user interface and query software,Y,N,Microsoft Access
11-1021.00,General and Operations Managers,Microsoft Dynamics,2.E.2.b,Enterprise resource planning ERP software,N,N,Microsoft Dynamics
11-1021.00,General and Operations Managers,Microsoft Dynamics GP,2.E.2.b,Enterprise resource planning ERP software,N,N,Microsoft Dynamics GP
11-1021.00,General and Operations Managers,Microsoft Excel,2.E.4.i,Spreadsheet software,Y,Y,Microsoft Excel
11-1021.00,General and Operations Managers,Microsoft Exchange,2.E.16.a,Electronic mail software,N,N,Microsoft Exchange
11-1021.00,General and Operations Managers,Microsoft FrontPage,2.E.4.g,Web page creation and editing software,N,N,Microsoft FrontPage
11-1021.00,General and Operations Managers,Microsoft Internet Explorer,2.E.10.e,Internet browser software,N,N,Microsoft Internet Explorer
11-1021.00,General and Operations Managers,Microsoft Office software,2.E.1.k,Office suite software,Y,Y,Microsoft Office software
11-1021.00,General and Operations Managers,Microsoft OneNote,2.E.4.d,Word processing software,N,N,Microsoft OneNote
11-1021.00,General and Operations Managers,Microsoft Outlook,2.E.16.a,Electronic mail software,Y,N,Microsoft Outlook
11-1021.00,General and Operations Managers,Microsoft PowerPoint,2.E.4.f,Presentation software,Y,Y,Microsoft PowerPoint
11-1021.00,General and Operations Managers,Microsoft Project,2.E.1.e,Project management software,Y,N,Microsoft Project
11-1021.00,General and Operations Managers,Microsoft Publisher,2.E.4.k,Desktop publishing software,N,N,Microsoft Publisher
11-1021.00,General and Operations Managers,Microsoft SharePoint,2.E.5.b,Document management software,Y,N,Microsoft SharePoint
11-1021.00,General and Operations Managers,Microsoft SQL Server,2.E.6.f,Data base user interface and query software,Y,N,Microsoft SQL Server
11-1021.00,General and Operations Managers,Microsoft Visio,2.E.1.p,Process mapping and design software,Y,N,Microsoft Visio
11-1021.00,General and Operations Managers,Microsoft Visual Basic,2.E.7.b,Development environment software,Y,N,Microsoft Visual Basic
11-1021.00,General and Operations Managers,Microsoft Visual Basic for Applications VBA,2.E.7.b,Development environment software,Y,N,Microsoft Visual Basic for Applications VBA
11-1021.00,General and Operations Managers,Microsoft Windows,2.E.13.c,Operating system software,Y,N,Microsoft Windows
11-1021.00,General and Operations Managers,Microsoft Word,2.E.4.d,Word processing software,Y,N,Microsoft Word
11-1021.00,General and Operations Managers,MicroStrategy,2.E.6.m,Business intelligence and data analysis software,N,N,MicroStrategy
11-1021.00,General and Operations Managers,Minitab,2.E.9.d,Analytical or scientific software,N,N,Minitab
11-1021.00,General and Operations Managers,Mozilla Firefox,2.E.10.e,Internet browser software,Y,N,Mozilla Firefox
11-1021.00,General and Operations Managers,Mozilla Thunderbird,2.E.16.a,Electronic mail software,N,N,Mozilla Thunderbird
11-1021.00,General and Operations Managers,Nagios,2.E.11.a,Network monitoring software,N,N,Nagios
11-1021.00,General and Operations Managers,NetSuite ERP,2.E.2.b,Enterprise resource planning ERP software,N,N,NetSuite ERP
11-1021.00,General and Operations Managers,NetSuite NetCRM,2.E.6.c,Customer relationship management CRM software,N,N,NetSuite NetCRM
11-1021.00,General and Operations Managers,NortonLifeLock cybersecurity software,2.E.14.d,Transaction security and virus protection software,N,N,NortonLifeLock cybersecurity software
11-1021.00,General and Operations Managers,Oracle Business Intelligence Enterprise Edition,2.E.6.m,Business intelligence and data analysis software,N,N,Oracle Business Intelligence Enterprise Edition
11-1021.00,General and Operations Managers,Oracle Database,2.E.6.f,Data base user interface and query software,Y,N,Oracle Database
11-1021.00,General and Operations Managers,Oracle E-Business Suite Financials,2.E.2.d,Financial analysis software,N,N,Oracle E-Business Suite Financials
11-1021.00,General and Operations Managers,Oracle Eloqua,2.E.6.c,Customer relationship management CRM software,N,N,Oracle Eloqua
11-1021.00,General and Operations Managers,Oracle Fusion Applications,2.E.2.b,Enterprise resource planning ERP software,N,N,Oracle Fusion Applications
11-1021.00,General and Operations Managers,Oracle Hyperion,2.E.2.b,Enterprise resource planning ERP software,N,N,Oracle Hyperion
11-1021.00,General and Operations Managers,Oracle JD Edwards EnterpriseOne,2.E.2.b,Enterprise resource planning ERP software,N,N,Oracle JD Edwards EnterpriseOne
11-1021.00,General and Operations Managers,Oracle PeopleSoft,2.E.2.b,Enterprise resource planning ERP software,Y,N,Oracle PeopleSoft
11-1021.00,General and Operations Managers,Oracle PeopleSoft Financials,2.E.2.b,Enterprise resource planning ERP software,N,N,Oracle PeopleSoft Financials
11-1021.00,General and Operations Managers,Oracle Primavera Enterprise Project Portfolio Management,2.E.1.e,Project management software,Y,N,Oracle Primavera Enterprise Project Portfolio Management
11-1021.00,General and Operations Managers,Oracle Solaris,2.E.13.c,Operating system software,N,N,Oracle Solaris
11-1021.00,General and Operations Managers,Oracle Taleo,2.E.1.c,Human resources software,N,N,Oracle Taleo
11-1021.00,General and Operations Managers,Payroll software,2.E.2.e,Time accounting software,N,N,Payroll software
11-1021.00,General and Operations Managers,Personnel scheduling software,2.E.1.c,Human resources software,N,N,Personnel scheduling software
11-1021.00,General and Operations Managers,PostgreSQL,2.E.6.j,Object oriented data base management software,Y,N,PostgreSQL
11-1021.00,General and Operations Managers,Puppet,2.E.7.a,Configuration management software,Y,N,Puppet
11-1021.00,General and Operations Managers,Qlik Tech QlikView,2.E.6.m,Business intelligence and data analysis software,N,N,Qlik Tech QlikView
11-1021.00,General and Operations Managers,Quest Erwin Data Modeler,2.E.6.i,Metadata management software,N,N,Quest Erwin Data Modeler
11-1021.00,General and Operations Managers,R,2.E.7.e,Object or component oriented development software,Y,N,R
11-1021.00,General and Operations Managers,Realization Streamliner,2.E.1.e,Project management software,N,N,Realization Streamliner
11-1021.00,General and Operations Managers,Sage 50 Accounting,2.E.2.a,Accounting software,N,N,Sage 50 Accounting
11-1021.00,General and Operations Managers,Sage MAS 500,2.E.2.d,Financial analysis software,N,N,Sage MAS 500
11-1021.00,General and Operations Managers,Salesforce software,2.E.6.c,Customer relationship management CRM software,Y,N,Salesforce software
11-1021.00,General and Operations Managers,Salesforce.com Salesforce CRM,2.E.6.c,Customer relationship management CRM software,N,N,Salesforce.com Salesforce CRM
11-1021.00,General and Operations Managers,SAP Business Objects,2.E.2.b,Enterprise resource planning ERP software,N,N,SAP Business Objects
11-1021.00,General and Operations Managers,SAP Crystal Reports,2.E.6.e,Data base reporting software,N,N,SAP Crystal Reports
11-1021.00,General and Operations Managers,SAP software,2.E.2.b,Enterprise resource planning ERP software,Y,N,SAP software
11-1021.00,General and Operations Managers,SAS,2.E.9.d,Analytical or scientific software,Y,N,SAS
11-1021.00,General and Operations Managers,Savant MobileRanger,2.E.6.f,Data base user interface and query software,N,N,Savant MobileRanger
11-1021.00,General and Operations Managers,Screencastify,2.E.4.c,Video creation and editing software,N,N,Screencastify
11-1021.00,General and Operations Managers,SeaMonkey,2.E.10.e,Internet browser software,N,N,SeaMonkey
11-1021.00,General and Operations Managers,Shell script,2.E.13.c,Operating system software,Y,N,Shell script
11-1021.00,General and Operations Managers,Siemens NX,2.E.9.k,Computer aided manufacturing CAM software,N,N,Siemens NX
11-1021.00,General and Operations Managers,Slack,2.E.16.i,Cloud-based data access and sharing software,Y,N,Slack
11-1021.00,General and Operations Managers,Social media sites,2.E.4.g,Web page creation and editing software,N,N,Social media sites
11-1021.00,General and Operations Managers,Software on Sailboats Desktop Sales Manager,2.E.6.c,Customer relationship management CRM software,N,N,Software on Sailboats Desktop Sales Manager
11-1021.00,General and Operations Managers,Splunk Enterprise,2.E.11.e,Cloud-based management software,Y,N,Splunk Enterprise
11-1021.00,General and Operations Managers,StataCorp Stata,2.E.9.d,Analytical or scientific software,N,N,StataCorp Stata
11-1021.00,General and Operations Managers,Structured query language SQL,2.E.6.f,Data base user interface and query software,Y,N,Structured query language SQL
11-1021.00,General and Operations Managers,Sugar CRM,2.E.6.c,Customer relationship management CRM software,N,N,Sugar CRM
11-1021.00,General and Operations Managers,Supervisory control and data acquisition SCADA software,2.E.9.g,Industrial control software,N,N,Supervisory control and data acquisition SCADA software
11-1021.00,General and Operations Managers,Tableau,2.E.6.m,Business intelligence and data analysis software,Y,N,Tableau
11-1021.00,General and Operations Managers,Tax software,2.E.2.a,Accounting software,N,N,Tax software
11-1021.00,General and Operations Managers,Teradata Database,2.E.6.d,Data base management system software,Y,N,Teradata Database
11-1021.00,General and Operations Managers,The MathWorks MATLAB,2.E.9.d,Analytical or scientific software,Y,N,The MathWorks MATLAB
11-1021.00,General and Operations Managers,Vanguard Software Vanguard Sales Manager,2.E.6.c,Customer relationship management CRM software,N,N,Vanguard Software Vanguard Sales Manager
11-1021.00,General and Operations Managers,Veritas NetBackup,2.E.15.f,Backup or archival software,N,N,Veritas NetBackup
11-1021.00,General and Operations Managers,vtiger CRM,2.E.6.c,Customer relationship management CRM software,N,N,vtiger CRM
11-1021.00,General and Operations Managers,Yardi software,2.E.6.f,Data base user interface and query software,Y,N,Yardi software
11-1021.00,General and Operations Managers,YouTube,2.E.4.c,Video creation and editing software,N,N,YouTube
11-1031.00,Legislators,Adobe Acrobat,2.E.5.b,Document management software,Y,N,Adobe Acrobat
11-1031.00,Legislators,Adobe FrameMaker,2.E.4.k,Desktop publishing software,N,N,Adobe FrameMaker
11-1031.00,Legislators,Antenna House,2.E.4.k,Desktop publishing software,N,N,Antenna House
11-1031.00,Legislators,Apple iWork Keynote,2.E.4.f,Presentation software,N,N,Apple iWork Keynote
11-1031.00,Legislators,Apple iWork Pages,2.E.4.d,Word processing software,N,N,Apple iWork Pages
11-1031.00,Legislators,Apple Numbers for Mac,2.E.4.i,Spreadsheet software,N,N,Apple Numbers for Mac
11-1031.00,Legislators,Cisco AnyConnect,2.E.12.a,Access software,N,N,Cisco AnyConnect
11-1031.00,Legislators,Cisco Webex,2.E.16.b,Video conferencing software,Y,N,Cisco Webex
11-1031.00,Legislators,Corel WordPerfect Office Suite,2.E.1.k,Office suite software,N,N,Corel WordPerfect Office Suite
11-1031.00,Legislators,GoodReader,2.E.4.d,Word processing software,N,N,GoodReader
11-1031.00,Legislators,iAnnotate,2.E.4.d,Word processing software,N,N,iAnnotate
11-1031.00,Legislators,IBM Domino,2.E.12.b,Communications server software,N,N,IBM Domino
11-1031.00,Legislators,Legislative Automative Workflow System LAWS,2.E.6.f,Data base user interface and query software,N,N,Legislative Automative Workflow System LAWS
11-1031.00,Legislators,LogMeIn GoToMeeting,2.E.16.b,Video conferencing software,N,N,LogMeIn GoToMeeting
11-1031.00,Legislators,Mapping software,2.E.16.e,Map creation software,N,N,Mapping software
11-1031.00,Legislators,Meeting scheduling software,2.E.4.h,Calendar and scheduling software,N,N,Meeting scheduling software
11-1031.00,Legislators,Microsoft Access,2.E.6.f,Data base user interface and query software,Y,N,Microsoft Access
11-1031.00,Legislators,Microsoft Excel,2.E.4.i,Spreadsheet software,Y,N,Microsoft Excel
11-1031.00,Legislators,Microsoft Exchange,2.E.16.a,Electronic mail software,N,N,Microsoft Exchange
11-1031.00,Legislators,Microsoft Office software,2.E.1.k,Office suite software,Y,N,Microsoft Office software
11-1031.00,Legislators,Microsoft Outlook,2.E.16.a,Electronic mail software,Y,N,Microsoft Outlook
11-1031.00,Legislators,Microsoft SharePoint,2.E.5.b,Document management software,Y,N,Microsoft SharePoint
11-1031.00,Legislators,Microsoft SQL Server,2.E.6.f,Data base user interface and query software,Y,N,Microsoft SQL Server
11-1031.00,Legislators,Microsoft Visual Basic,2.E.7.b,Development environment software,Y,N,Microsoft Visual Basic
11-1031.00,Legislators,Microsoft Word,2.E.4.d,Word processing software,Y,N,Microsoft Word
11-1031.00,Legislators,Penultimate,2.E.4.d,Word processing software,N,N,Penultimate
11-1031.00,Legislators,PTC Arbortext,2.E.4.k,Desktop publishing software,N,N,PTC Arbortext
11-1031.00,Legislators,Rocket/Folio NXT,2.E.4.k,Desktop publishing software,N,N,Rocket/Folio NXT
11-1031.00,Legislators,Structured query language SQL,2.E.6.f,Data base user interface and query software,Y,N,Structured query language SQL
11-1031.00,Legislators,Web browser software,2.E.10.e,Internet browser software,N,N,Web browser software
11-1031.00,Legislators,Windows Media Player,2.E.3.b,Music or sound editing software,N,N,Windows Media Player
11-1031.00,Legislators,XMetaL Author,2.E.4.d,Word processing software,N,N,XMetaL Author
11-2011.00,Advertising and Promotions Managers,Actuate BIRT,2.E.6.m,Business intelligence and data analysis software,N,N,Actuate BIRT
11-2011.00,Advertising and Promotions Managers,Adobe Acrobat,2.E.5.b,Document management software,Y,N,Adobe Acrobat
11-2011.00,Advertising and Promotions Managers,Adobe Acrobat Reader,2.E.5.b,Document management software,N,N,Adobe Acrobat Reader
11-2011.00,Advertising and Promotions Managers,Adobe After Effects,2.E.4.c,Video creation and editing software,Y,N,Adobe After Effects
11-2011.00,Advertising and Promotions Managers,Adobe Creative Cloud software,2.E.4.b,Graphics or photo imaging software,Y,N,Adobe Creative Cloud software
