EmployeeNumber,JobRole,ONET_SOC_Code,Skill_Name,Skill_Type
1,Sales Executive,41-4012.00,Microsoft Project,Software
1,Sales Executive,41-4012.00,Root Systems SPS Process Management,Software
1,Sales Executive,41-4012.00,Google Meet,Software
1,Sales Executive,41-4012.00,Sales force automation software,Software
1,Sales Executive,41-4012.00,Oracle WebLogic Server,Software
1,Sales Executive,41-4012.00,Epic Systems,Software
1,Sales Executive,41-4012.00,Microsoft Visio,Software
1,Sales Executive,41-4012.00,NortonLifeLock cybersecurity software,Software
1,Sales Executive,41-4012.00,LexisNexis,Software
1,Sales Executive,41-4012.00,Microsoft Dynamics CRM,Software
1,Sales Executive,41-4012.00,Microsoft Exchange,Software
1,Sales Executive,41-4012.00,HubSpot software,Software
1,Sales Executive,41-4012.00,Adobe Illustrator,Software
1,Sales Executive,41-4012.00,Tax software,Software
1,Sales Executive,41-4012.00,NetSuite NetCRM,Software
1,Sales Executive,41-4012.00,GroupMe,Software
1,Sales Executive,41-4012.00,Evernote,Software
1,Sales Executive,41-4012.00,Microsoft Internet Explorer,Software
1,Sales Executive,41-4012.00,ESRI ArcGIS software,Software
1,Sales Executive,41-4012.00,SAS,Software
1,Sales Executive,41-4012.00,Adobe Photoshop,Software
1,Sales Executive,41-4012.00,Google Analytics,Software
1,Sales Executive,41-4012.00,Medical condition coding software,Software
1,Sales Executive,41-4012.00,Mozilla Thunderbird,Software
1,Sales Executive,41-4012.00,Microsoft Publisher,Software
1,Sales Executive,41-4012.00,SSA Global BPCS,Software
1,Sales Executive,41-4012.00,UNIX,Software
2,Research Scientist,19-1029.01,Learning Strategies,Essential
2,Research Scientist,19-1029.01,Mathematics,Essential
2,Research Scientist,19-1029.01,Active Listening,Essential
2,Research Scientist,19-1029.01,Science,Essential
2,Research Scientist,19-1029.01,Speaking,Essential
2,Research Scientist,19-1029.01,Reading Comprehension,Essential
2,Research Scientist,19-1029.01,Active Learning,Essential
2,Research Scientist,19-1029.01,DNA sequencing software,Software
2,Research Scientist,19-1029.01,Bash,Software
2,Research Scientist,19-1029.01,Microsoft SQL Server Reporting Services SSRS,Software
2,Research Scientist,19-1029.01,NoSQL,Software
2,Research Scientist,19-1029.01,BWA,Software
2,Research Scientist,19-1029.01,Bioconductor,Software
2,Research Scientist,19-1029.01,Cytel StatXact,Software
2,Research Scientist,19-1029.01,TIBCO Spotfire S+,Software
2,Research Scientist,19-1029.01,Biomatters Geneious,Software
2,Research Scientist,19-1029.01,UNIX,Software
2,Research Scientist,19-1029.01,Microsoft Active Server Pages ASP,Software
2,Research Scientist,19-1029.01,Data visualization software,Software
2,Research Scientist,19-1029.01,GitHub,Software
2,Research Scientist,19-1029.01,Microsoft PowerPoint,Software
2,Research Scientist,19-1029.01,Structured query language SQL,Software
2,Research Scientist,19-1029.01,TopHat,Software
2,Research Scientist,19-1029.01,Canu,Software
2,Research Scientist,19-1029.01,C#,Software
2,Research Scientist,19-1029.01,Primer3,Software
2,Research Scientist,19-1029.01,Microsoft Excel,Software
2,Research Scientist,19-1029.01,Git,Software
2,Research Scientist,19-1029.01,Cufflinks,Software
2,Research Scientist,19-1029.01,Apache Hadoop,Software
2,Research Scientist,19-1029.01,Genedata Expressionist,Software
2,Research Scientist,19-1029.01,Oracle Database,Software
2,Research Scientist,19-1029.01,Shell script,Software
2,Research Scientist,19-1029.01,BioPerl,Software
2,Research Scientist,19-1029.01,Ruby,Software
2,Research Scientist,19-1029.01,Apache Groovy,Software
2,Research Scientist,19-1029.01,JavaScript Object Notation JSON,Software
2,Research Scientist,19-1029.01,Scala,Software
2,Research Scientist,19-1029.01,Illumina Laboratory Information Management System LIMS,Software
2,Research Scientist,19-1029.01,Docker,Software
2,Research Scientist,19-1029.01,Oracle Java,Software
2,Research Scientist,19-1029.01,ClustalW,Software
2,Research Scientist,19-1029.01,The MathWorks MATLAB,Software
2,Research Scientist,19-1029.01,Oracle PL/SQL,Software
2,Research Scientist,19-1029.01,Microsoft Visual Studio,Software
2,Research Scientist,19-1029.01,Software development tools,Software
2,Research Scientist,19-1029.01,Web browser software,Software
2,Research Scientist,19-1029.01,SAP software,Software
2,Research Scientist,19-1029.01,User interface design software,Software
2,Research Scientist,19-1029.01,Microsoft Azure software,Software
2,Research Scientist,19-1029.01,C++,Software
2,Research Scientist,19-1029.01,Perl,Software
2,Research Scientist,19-1029.01,Public genomic databases,Software
2,Research Scientist,19-1029.01,Amazon Web Services AWS software,Software
2,Research Scientist,19-1029.01,JavaScript,Software
2,Research Scientist,19-1029.01,BLAT,Software
2,Research Scientist,19-1029.01,PHP,Software
2,Research Scientist,19-1029.01,Microsoft Office software,Software
2,Research Scientist,19-1029.01,Microsoft SQL Server,Software
2,Research Scientist,19-1029.01,jQuery,Software
2,Research Scientist,19-1029.01,Teradata software,Software
2,Research Scientist,19-1029.01,MySQL,Software
2,Research Scientist,19-1029.01,Tibco S-PLUS,Software
2,Research Scientist,19-1029.01,Microsoft Visual Basic for Applications VBA,Software
2,Research Scientist,19-1029.01,Velvet,Software
2,Research Scientist,19-1029.01,Django,Software
2,Research Scientist,19-1029.01,Salesforce software,Software
4,Laboratory Technician,29-2012.00,Science,Essential
4,Laboratory Technician,29-2012.00,Speaking,Essential
4,Laboratory Technician,29-2012.00,Mathematics,Essential
4,Laboratory Technician,29-2012.00,Writing,Essential
4,Laboratory Technician,29-2012.00,Monitoring,Essential
4,Laboratory Technician,29-2012.00,Active Listening,Essential
4,Laboratory Technician,29-2012.00,Critical Thinking,Essential
4,Laboratory Technician,29-2012.00,Microsoft PowerPoint,Software
4,Laboratory Technician,29-2012.00,Minitab,Software
4,Laboratory Technician,29-2012.00,MEDITECH software,Software
4,Laboratory Technician,29-2012.00,Test routing software,Software
4,Laboratory Technician,29-2012.00,Google Docs,Software
4,Laboratory Technician,29-2012.00,Test result delivery software,Software
4,Laboratory Technician,29-2012.00,Email software,Software
4,Laboratory Technician,29-2012.00,Database software,Software
4,Laboratory Technician,29-2012.00,Sunquest Information Systems Sunquest Laboratory,Software
4,Laboratory Technician,29-2012.00,Microscopic image capturing software,Software
4,Laboratory Technician,29-2012.00,Specimen tracking software,Software
4,Laboratory Technician,29-2012.00,Medical system integration software,Software
4,Laboratory Technician,29-2012.00,Hematology laboratory workflow management software,Software
4,Laboratory Technician,29-2012.00,SAP software,Software
4,Laboratory Technician,29-2012.00,Laboratory information system LIS,Software
4,Laboratory Technician,29-2012.00,National Instruments LabVIEW,Software
4,Laboratory Technician,29-2012.00,Electronic medical record EMR software,Software
4,Laboratory Technician,29-2012.00,Medical digital imaging software,Software
4,Laboratory Technician,29-2012.00,Quizlet,Software
5,Research Scientist,19-1029.01,Mathematics,Essential
5,Research Scientist,19-1029.01,Reading Comprehension,Essential
5,Research Scientist,19-1029.01,Active Listening,Essential
5,Research Scientist,19-1029.01,Critical Thinking,Essential
5,Research Scientist,19-1029.01,Writing,Essential
5,Research Scientist,19-1029.01,Learning Strategies,Essential
5,Research Scientist,19-1029.01,Monitoring,Essential
5,Research Scientist,19-1029.01,Hypertext markup language HTML,Software
5,Research Scientist,19-1029.01,BLAT,Software
5,Research Scientist,19-1029.01,Microsoft Visual Studio,Software
5,Research Scientist,19-1029.01,Microsoft SQL Server,Software
5,Research Scientist,19-1029.01,Life Technologies SOLiD,Software
5,Research Scientist,19-1029.01,C#,Software
5,Research Scientist,19-1029.01,JavaScript,Software
5,Research Scientist,19-1029.01,Oracle PL/SQL,Software
5,Research Scientist,19-1029.01,Bowtie,Software
5,Research Scientist,19-1029.01,Microsoft SQL Server Reporting Services SSRS,Software
5,Research Scientist,19-1029.01,SAP software,Software
5,Research Scientist,19-1029.01,UNIX,Software
5,Research Scientist,19-1029.01,BioPerl,Software
5,Research Scientist,19-1029.01,Bioconductor software,Software
5,Research Scientist,19-1029.01,Oracle JavaServer Pages JSP,Software
5,Research Scientist,19-1029.01,JavaScript Object Notation JSON,Software
5,Research Scientist,19-1029.01,Microsoft PowerPoint,Software
5,Research Scientist,19-1029.01,Scala,Software
5,Research Scientist,19-1029.01,NCBI RefSeq,Software
5,Research Scientist,19-1029.01,Amazon Web Services AWS software,Software
5,Research Scientist,19-1029.01,C,Software
5,Research Scientist,19-1029.01,Microsoft Active Server Pages ASP,Software
5,Research Scientist,19-1029.01,Software development tools,Software
5,Research Scientist,19-1029.01,PHP,Software
5,Research Scientist,19-1029.01,Structured query language SQL,Software
5,Research Scientist,19-1029.01,Docker,Software
5,Research Scientist,19-1029.01,R,Software
5,Research Scientist,19-1029.01,Biomatters Geneious,Software
5,Research Scientist,19-1029.01,Web browser software,Software
5,Research Scientist,19-1029.01,Velvet,Software
5,Research Scientist,19-1029.01,Apache Accumulo,Software
5,Research Scientist,19-1029.01,Accelrys Pipeline Pilot,Software
5,Research Scientist,19-1029.01,dbSNP,Software
5,Research Scientist,19-1029.01,GenePattern,Software
5,Research Scientist,19-1029.01,The MathWorks MATLAB,Software
5,Research Scientist,19-1029.01,MySQL,Software
5,Research Scientist,19-1029.01,Life Technologies Vector NTI,Software
5,Research Scientist,19-1029.01,Genedata Expressionist,Software
5,Research Scientist,19-1029.01,Microsoft Access,Software
5,Research Scientist,19-1029.01,Django,Software
5,Research Scientist,19-1029.01,IBM SPSS Statistics,Software
5,Research Scientist,19-1029.01,Teradata software,Software
5,Research Scientist,19-1029.01,Salesforce software,Software
5,Research Scientist,19-1029.01,Apache HTTP Server,Software
5,Research Scientist,19-1029.01,Formula translation/translator FORTRAN,Software
5,Research Scientist,19-1029.01,Oracle Database,Software
5,Research Scientist,19-1029.01,NoSQL,Software
5,Research Scientist,19-1029.01,Linux,Software
5,Research Scientist,19-1029.01,Ruby,Software
5,Research Scientist,19-1029.01,Microsoft Office software,Software
5,Research Scientist,19-1029.01,TIBCO Spotfire S+,Software
5,Research Scientist,19-1029.01,Apache Groovy,Software
5,Research Scientist,19-1029.01,ClustalW,Software
5,Research Scientist,19-1029.01,RNA sequencing software,Software
5,Research Scientist,19-1029.01,Apache Hadoop,Software
5,Research Scientist,19-1029.01,Relational database management software,Software
5,Research Scientist,19-1029.01,Microsoft Azure software,Software
5,Research Scientist,19-1029.01,Extensible markup language XML,Software
5,Research Scientist,19-1029.01,Roche 454 Life Sciences GS Data Analysis,Software
5,Research Scientist,19-1029.01,Python,Software
7,Laboratory Technician,29-2012.00,Science,Essential
7,Laboratory Technician,29-2012.00,Writing,Essential
7,Laboratory Technician,29-2012.00,Active Listening,Essential
7,Laboratory Technician,29-2012.00,Active Learning,Essential
7,Laboratory Technician,29-2012.00,Learning Strategies,Essential
7,Laboratory Technician,29-2012.00,Mathematics,Essential
7,Laboratory Technician,29-2012.00,Speaking,Essential
7,Laboratory Technician,29-2012.00,Data entry software,Software
7,Laboratory Technician,29-2012.00,Test routing software,Software
7,Laboratory Technician,29-2012.00,Quizlet,Software
7,Laboratory Technician,29-2012.00,Microsoft Word,Software
7,Laboratory Technician,29-2012.00,Hematology laboratory workflow management software,Software
7,Laboratory Technician,29-2012.00,Microsoft Excel,Software
7,Laboratory Technician,29-2012.00,Database software,Software
7,Laboratory Technician,29-2012.00,FileMaker Pro,Software
7,Laboratory Technician,29-2012.00,Minitab,Software
7,Laboratory Technician,29-2012.00,Medical system integration software,Software
7,Laboratory Technician,29-2012.00,Google Docs,Software
7,Laboratory Technician,29-2012.00,Billing software,Software
7,Laboratory Technician,29-2012.00,Electronic medical record EMR software,Software
7,Laboratory Technician,29-2012.00,Test result delivery software,Software
7,Laboratory Technician,29-2012.00,Laboratory information system LIS,Software
7,Laboratory Technician,29-2012.00,Microsoft Outlook,Software
7,Laboratory Technician,29-2012.00,SAP software,Software
7,Laboratory Technician,29-2012.00,Email software,Software
7,Laboratory Technician,29-2012.00,IBM Notes,Software
8,Laboratory Technician,29-2012.00,Reading Comprehension,Essential
8,Laboratory Technician,29-2012.00,Monitoring,Essential
8,Laboratory Technician,29-2012.00,Science,Essential
8,Laboratory Technician,29-2012.00,Learning Strategies,Essential
8,Laboratory Technician,29-2012.00,Active Listening,Essential
8,Laboratory Technician,29-2012.00,Mathematics,Essential
8,Laboratory Technician,29-2012.00,Speaking,Essential
8,Laboratory Technician,29-2012.00,IBM Notes,Software
8,Laboratory Technician,29-2012.00,Test result delivery software,Software
8,Laboratory Technician,29-2012.00,Database software,Software
8,Laboratory Technician,29-2012.00,Data entry software,Software
8,Laboratory Technician,29-2012.00,Microsoft Outlook,Software
8,Laboratory Technician,29-2012.00,Laboratory information system LIS,Software
8,Laboratory Technician,29-2012.00,Medical system integration software,Software
8,Laboratory Technician,29-2012.00,Reimbursement screening software,Software
8,Laboratory Technician,29-2012.00,FileMaker Pro,Software
8,Laboratory Technician,29-2012.00,Specimen tracking software,Software
8,Laboratory Technician,29-2012.00,Sunquest Information Systems Sunquest Laboratory,Software
8,Laboratory Technician,29-2012.00,Google Docs,Software
8,Laboratory Technician,29-2012.00,National Instruments LabVIEW,Software
8,Laboratory Technician,29-2012.00,Email software,Software
8,Laboratory Technician,29-2012.00,MEDITECH software,Software
8,Laboratory Technician,29-2012.00,Microsoft Excel,Software
8,Laboratory Technician,29-2012.00,Commercial plate reader software,Software
8,Laboratory Technician,29-2012.00,Microscopic image capturing software,Software
8,Laboratory Technician,29-2012.00,Microsoft Word,Software
10,Laboratory Technician,29-2012.00,Speaking,Essential
10,Laboratory Technician,29-2012.00,Learning Strategies,Essential
10,Laboratory Technician,29-2012.00,Critical Thinking,Essential
10,Laboratory Technician,29-2012.00,Active Listening,Essential
10,Laboratory Technician,29-2012.00,Active Learning,Essential
10,Laboratory Technician,29-2012.00,Reading Comprehension,Essential
10,Laboratory Technician,29-2012.00,Science,Essential
10,Laboratory Technician,29-2012.00,Hematology laboratory workflow management software,Software
10,Laboratory Technician,29-2012.00,Microscopic image capturing software,Software
10,Laboratory Technician,29-2012.00,Laboratory information system LIS,Software
10,Laboratory Technician,29-2012.00,Email software,Software
10,Laboratory Technician,29-2012.00,Test result delivery software,Software
10,Laboratory Technician,29-2012.00,National Instruments LabVIEW,Software
10,Laboratory Technician,29-2012.00,Test routing software,Software
10,Laboratory Technician,29-2012.00,Google Docs,Software
10,Laboratory Technician,29-2012.00,Sunquest Information Systems Sunquest Laboratory,Software
10,Laboratory Technician,29-2012.00,SAP software,Software
10,Laboratory Technician,29-2012.00,Data entry software,Software
10,Laboratory Technician,29-2012.00,Medical system integration software,Software
10,Laboratory Technician,29-2012.00,Microsoft Outlook,Software
10,Laboratory Technician,29-2012.00,Quizlet,Software
10,Laboratory Technician,29-2012.00,Commercial plate reader software,Software
10,Laboratory Technician,29-2012.00,Quality control software,Software
10,Laboratory Technician,29-2012.00,Microsoft PowerPoint,Software
10,Laboratory Technician,29-2012.00,IBM Notes,Software
10,Laboratory Technician,29-2012.00,Specimen tracking software,Software
11,Laboratory Technician,29-2012.00,Science,Essential
11,Laboratory Technician,29-2012.00,Mathematics,Essential
11,Laboratory Technician,29-2012.00,Monitoring,Essential
11,Laboratory Technician,29-2012.00,Critical Thinking,Essential
11,Laboratory Technician,29-2012.00,Writing,Essential
11,Laboratory Technician,29-2012.00,Active Listening,Essential
11,Laboratory Technician,29-2012.00,Learning Strategies,Essential
11,Laboratory Technician,29-2012.00,National Instruments LabVIEW,Software
11,Laboratory Technician,29-2012.00,Minitab,Software
11,Laboratory Technician,29-2012.00,Database software,Software
11,Laboratory Technician,29-2012.00,Email software,Software
11,Laboratory Technician,29-2012.00,Hematology laboratory workflow management software,Software
11,Laboratory Technician,29-2012.00,Specimen tracking software,Software
11,Laboratory Technician,29-2012.00,Microsoft Word,Software
11,Laboratory Technician,29-2012.00,Quality control software,Software
11,Laboratory Technician,29-2012.00,FileMaker Pro,Software
11,Laboratory Technician,29-2012.00,Microsoft Office software,Software
11,Laboratory Technician,29-2012.00,Microsoft Excel,Software
11,Laboratory Technician,29-2012.00,Reimbursement screening software,Software
11,Laboratory Technician,29-2012.00,Microsoft Outlook,Software
11,Laboratory Technician,29-2012.00,Commercial plate reader software,Software
11,Laboratory Technician,29-2012.00,MEDITECH software,Software
11,Laboratory Technician,29-2012.00,Microscopic image capturing software,Software
11,Laboratory Technician,29-2012.00,Test routing software,Software
11,Laboratory Technician,29-2012.00,Medical system integration software,Software
11,Laboratory Technician,29-2012.00,SAP software,Software
12,Manufacturing Director,11-1021.00,Learning Strategies,Essential
12,Manufacturing Director,11-1021.00,Science,Essential
12,Manufacturing Director,11-1021.00,Mathematics,Essential
12,Manufacturing Director,11-1021.00,Active Learning,Essential
12,Manufacturing Director,11-1021.00,Monitoring,Essential
12,Manufacturing Director,11-1021.00,Speaking,Essential
12,Manufacturing Director,11-1021.00,Critical Thinking,Essential
12,Manufacturing Director,11-1021.00,Microsoft Visual Basic for Applications VBA,Software
12,Manufacturing Director,11-1021.00,Job control language JCL,Software
12,Manufacturing Director,11-1021.00,Payroll software,Software
12,Manufacturing Director,11-1021.00,Flipgrid,Software
12,Manufacturing Director,11-1021.00,ActionWare,Software
12,Manufacturing Director,11-1021.00,PostgreSQL,Software
12,Manufacturing Director,11-1021.00,HEAT Software GoldMine,Software
12,Manufacturing Director,11-1021.00,Microsoft Internet Explorer,Software
12,Manufacturing Director,11-1021.00,Facebook,Software
12,Manufacturing Director,11-1021.00,IBM SPSS Statistics,Software
12,Manufacturing Director,11-1021.00,Oracle Taleo,Software
12,Manufacturing Director,11-1021.00,Software on Sailboats Desktop Sales Manager,Software
12,Manufacturing Director,11-1021.00,Apple Final Cut Pro,Software
12,Manufacturing Director,11-1021.00,Oracle Business Intelligence Enterprise Edition,Software
12,Manufacturing Director,11-1021.00,NortonLifeLock cybersecurity software,Software
12,Manufacturing Director,11-1021.00,Microsoft Excel,Software
12,Manufacturing Director,11-1021.00,Atlassian JIRA,Software
12,Manufacturing Director,11-1021.00,Google Slides,Software
12,Manufacturing Director,11-1021.00,Marketo Marketing Automation,Software
12,Manufacturing Director,11-1021.00,Oracle JD Edwards EnterpriseOne,Software
12,Manufacturing Director,11-1021.00,Oracle Database,Software
12,Manufacturing Director,11-1021.00,vtiger CRM,Software
12,Manufacturing Director,11-1021.00,Salesforce software,Software
12,Manufacturing Director,11-1021.00,FileMaker Pro,Software
12,Manufacturing Director,11-1021.00,Datawatch Monarch,Software
12,Manufacturing Director,11-1021.00,Microsoft Dynamics,Software
12,Manufacturing Director,11-1021.00,Kronos Workforce Payroll,Software
12,Manufacturing Director,11-1021.00,Slack,Software
12,Manufacturing Director,11-1021.00,SAS,Software
12,Manufacturing Director,11-1021.00,Vanguard Software Vanguard Sales Manager,Software
12,Manufacturing Director,11-1021.00,Medical condition coding software,Software
12,Manufacturing Director,11-1021.00,Microsoft OneNote,Software
12,Manufacturing Director,11-1021.00,Microsoft SharePoint,Software
12,Manufacturing Director,11-1021.00,Realization Streamliner,Software
12,Manufacturing Director,11-1021.00,Microsoft Access,Software
12,Manufacturing Director,11-1021.00,Citrix cloud computing software,Software
12,Manufacturing Director,11-1021.00,R,Software
12,Manufacturing Director,11-1021.00,Microsoft Outlook,Software
12,Manufacturing Director,11-1021.00,Adobe Acrobat,Software
12,Manufacturing Director,11-1021.00,Kronos Workforce Timekeeper,Software
12,Manufacturing Director,11-1021.00,IBM Domino,Software
12,Manufacturing Director,11-1021.00,Delphi Technology,Software
12,Manufacturing Director,11-1021.00,Apache Hadoop,Software
12,Manufacturing Director,11-1021.00,Microsoft Exchange,Software
12,Manufacturing Director,11-1021.00,SAP software,Software
12,Manufacturing Director,11-1021.00,HubSpot software,Software
12,Manufacturing Director,11-1021.00,SeaMonkey,Software
12,Manufacturing Director,11-1021.00,Extensible markup language XML,Software
12,Manufacturing Director,11-1021.00,ADP Workforce Now,Software
12,Manufacturing Director,11-1021.00,Teradata Database,Software
12,Manufacturing Director,11-1021.00,Adobe Creative Cloud software,Software
12,Manufacturing Director,11-1021.00,SAP Business Objects,Software
12,Manufacturing Director,11-1021.00,Oracle Hyperion,Software
12,Manufacturing Director,11-1021.00,Microsoft Windows,Software
12,Manufacturing Director,11-1021.00,Microsoft Visual Basic,Software
12,Manufacturing Director,11-1021.00,Tax software,Software
12,Manufacturing Director,11-1021.00,Customer information control system CICS,Software
12,Manufacturing Director,11-1021.00,Act!,Software
12,Manufacturing Director,11-1021.00,Human resource management software HRMS,Software
12,Manufacturing Director,11-1021.00,IBM InfoSphere DataStage,Software
12,Manufacturing Director,11-1021.00,Amazon Web Services AWS software,Software
12,Manufacturing Director,11-1021.00,Quest Erwin Data Modeler,Software
12,Manufacturing Director,11-1021.00,Google Analytics,Software
12,Manufacturing Director,11-1021.00,Tableau,Software
12,Manufacturing Director,11-1021.00,Eko,Software
12,Manufacturing Director,11-1021.00,Screencastify,Software
12,Manufacturing Director,11-1021.00,Microsoft Dynamics GP,Software
12,Manufacturing Director,11-1021.00,Dropbox,Software
12,Manufacturing Director,11-1021.00,IBM Power Systems software,Software
12,Manufacturing Director,11-1021.00,Microsoft Visio,Software
12,Manufacturing Director,11-1021.00,Nagios,Software
12,Manufacturing Director,11-1021.00,Google Drive,Software
12,Manufacturing Director,11-1021.00,SAP Crystal Reports,Software
12,Manufacturing Director,11-1021.00,IBM Cognos Impromptu,Software
12,Manufacturing Director,11-1021.00,Airtable,Software
12,Manufacturing Director,11-1021.00,Siemens NX,Software
12,Manufacturing Director,11-1021.00,Mozilla Thunderbird,Software
12,Manufacturing Director,11-1021.00,Microsoft PowerPoint,Software
12,Manufacturing Director,11-1021.00,Puppet,Software
12,Manufacturing Director,11-1021.00,Qlik Tech QlikView,Software
12,Manufacturing Director,11-1021.00,Blackbaud The Raiser's Edge,Software
12,Manufacturing Director,11-1021.00,YouTube,Software
12,Manufacturing Director,11-1021.00,Fund accounting software,Software
12,Manufacturing Director,11-1021.00,Adobe Photoshop,Software
12,Manufacturing Director,11-1021.00,Atlassian Confluence,Software
12,Manufacturing Director,11-1021.00,NetSuite NetCRM,Software
12,Manufacturing Director,11-1021.00,LinkedIn,Software
12,Manufacturing Director,11-1021.00,GroupMe,Software
12,Manufacturing Director,11-1021.00,Oracle E-Business Suite Financials,Software
12,Manufacturing Director,11-1021.00,Google Docs,Software
12,Manufacturing Director,11-1021.00,LexisNexis,Software
13,Healthcare Representative,41-4011.00,Learning Strategies,Essential
13,Healthcare Representative,41-4011.00,Speaking,Essential
13,Healthcare Representative,41-4011.00,Active Listening,Essential
13,Healthcare Representative,41-4011.00,Critical Thinking,Essential
13,Healthcare Representative,41-4011.00,Monitoring,Essential
13,Healthcare Representative,41-4011.00,Writing,Essential
13,Healthcare Representative,41-4011.00,Active Learning,Essential
13,Healthcare Representative,41-4011.00,Amazon Web Services AWS software,Software
13,Healthcare Representative,41-4011.00,SAP software,Software
13,Healthcare Representative,41-4011.00,Tax software,Software
13,Healthcare Representative,41-4011.00,Zoom,Software
13,Healthcare Representative,41-4011.00,Cegedim Target Software Target SFA Pharmaceutical Suite,Software
13,Healthcare Representative,41-4011.00,AdTrack Customer Acquisition Management CAM,Software
13,Healthcare Representative,41-4011.00,HEAT Software GoldMine,Software
13,Healthcare Representative,41-4011.00,Microsoft Azure software,Software
13,Healthcare Representative,41-4011.00,Infor ERP SyteLine,Software
13,Healthcare Representative,41-4011.00,Intuit QuickBooks,Software
13,Healthcare Representative,41-4011.00,Voice over internet protocol VoIP system software,Software
13,Healthcare Representative,41-4011.00,Oracle Hyperion,Software
13,Healthcare Representative,41-4011.00,Oracle Fusion Applications,Software
13,Healthcare Representative,41-4011.00,NetSuite NetCRM,Software
13,Healthcare Representative,41-4011.00,Web browser software,Software
13,Healthcare Representative,41-4011.00,Microsoft Dynamics,Software
13,Healthcare Representative,41-4011.00,Google Ads,Software
13,Healthcare Representative,41-4011.00,NortonLifeLock cybersecurity software,Software
13,Healthcare Representative,41-4011.00,Microsoft Excel,Software
13,Healthcare Representative,41-4011.00,Oracle Database,Software
