EmployeeNumber,ONET_SOC_Code,Missing_Skill_Name,Importance_Weight
2,19-1029.01,Microsoft Access,3.0
2,19-1029.01,Life Technologies SOLiD,3.0
2,19-1029.01,Relational database management software,3.0
2,19-1029.01,Writing,4.0
2,19-1029.01,Accelrys Pipeline Pilot,3.0
2,19-1029.01,GenBank,3.0
2,19-1029.01,NCBI RefSeq,3.0
2,19-1029.01,Apache Accumulo,3.0
2,19-1029.01,PostgreSQL,3.0
2,19-1029.01,Snakemake,3.0
2,19-1029.01,Critical Thinking,4.0
2,19-1029.01,Roche 454 Life Sciences GS Data Analysis,3.0
2,19-1029.01,Object oriented development environment software,3.0
2,19-1029.01,Life Technologies Vector NTI,3.0
2,19-1029.01,Bioconductor software,3.0
2,19-1029.01,GenePattern,3.0
2,19-1029.01,Linux,3.0
2,19-1029.01,IBM SPSS Statistics,3.0
2,19-1029.01,RNA sequencing software,3.0
2,19-1029.01,Microsoft SharePoint,3.0
2,19-1029.01,Tableau,3.0
2,19-1029.01,Monitoring,3.38
4,29-2012.00,FileMaker Pro,3.0
4,29-2012.00,Microsoft Outlook,3.0
4,29-2012.00,Reimbursement screening software,3.0
4,29-2012.00,Microsoft Office software,3.0
4,29-2012.00,Data entry software,3.0
4,29-2012.00,Microsoft Excel,3.0
4,29-2012.00,Commercial plate reader software,3.0
4,29-2012.00,Quality control software,3.0
4,29-2012.00,Learning Strategies,2.75
4,29-2012.00,IBM Notes,3.0
4,29-2012.00,Billing software,3.0
4,29-2012.00,Active Learning,3.0
4,29-2012.00,Reading Comprehension,3.75
4,29-2012.00,Microsoft Word,3.0
5,19-1029.01,Tableau,3.0
5,19-1029.01,Canu,3.0
5,19-1029.01,Data visualization software,3.0
5,19-1029.01,StataCorp Stata,3.0
5,19-1029.01,Microsoft SharePoint,3.0
5,19-1029.01,Microsoft Excel,3.0
5,19-1029.01,Perl,3.0
5,19-1029.01,Genome Analysis Toolkit GATK,3.0
5,19-1029.01,SAS,3.0
5,19-1029.01,Microsoft Visual Basic for Applications VBA,3.0
5,19-1029.01,Public genomic databases,3.0
5,19-1029.01,Bioconductor,3.0
5,19-1029.01,DNA sequencing software,3.0
5,19-1029.01,C++,3.0
5,19-1029.01,Illumina Laboratory Information Management System LIMS,3.0
5,19-1029.01,Shell script,3.0
5,19-1029.01,GitHub,3.0
5,19-1029.01,Tibco S-PLUS,3.0
5,19-1029.01,Primer3,3.0
5,19-1029.01,ENSEMBL,3.0
5,19-1029.01,Git,3.0
5,19-1029.01,Cytel StatXact,3.0
5,19-1029.01,GenBank,3.0
5,19-1029.01,jQuery,3.0
5,19-1029.01,PostgreSQL,3.0
5,19-1029.01,Snakemake,3.0
5,19-1029.01,Object oriented development environment software,3.0
5,19-1029.01,Cufflinks,3.0
5,19-1029.01,TopHat,3.0
5,19-1029.01,Bash,3.0
5,19-1029.01,Science,4.0
5,19-1029.01,BWA,3.0
5,19-1029.01,Oracle Java,3.0
5,19-1029.01,User interface design software,3.0
5,19-1029.01,Speaking,4.0
5,19-1029.01,Active Learning,3.88
7,29-2012.00,Microsoft PowerPoint,3.0
7,29-2012.00,Reimbursement screening software,3.0
7,29-2012.00,Microsoft Office software,3.0
7,29-2012.00,Microscopic image capturing software,3.0
7,29-2012.00,Commercial plate reader software,3.0
7,29-2012.00,National Instruments LabVIEW,3.0
7,29-2012.00,Specimen tracking software,3.0
7,29-2012.00,Medical digital imaging software,3.0
7,29-2012.00,Quality control software,3.0
7,29-2012.00,Sunquest Information Systems Sunquest Laboratory,3.0
7,29-2012.00,Critical Thinking,3.25
7,29-2012.00,MEDITECH software,3.0
7,29-2012.00,Reading Comprehension,3.75
7,29-2012.00,Monitoring,3.0
8,29-2012.00,Electronic medical record EMR software,3.0
8,29-2012.00,Microsoft PowerPoint,3.0
8,29-2012.00,Minitab,3.0
8,29-2012.00,Microsoft Office software,3.0
8,29-2012.00,Medical digital imaging software,3.0
8,29-2012.00,Quizlet,3.0
8,29-2012.00,Quality control software,3.0
8,29-2012.00,Test routing software,3.0
8,29-2012.00,Hematology laboratory workflow management software,3.0
8,29-2012.00,Critical Thinking,3.25
8,29-2012.00,Writing,3.0
8,29-2012.00,Billing software,3.0
8,29-2012.00,SAP software,3.0
8,29-2012.00,Active Learning,3.0
10,29-2012.00,Electronic medical record EMR software,3.0
10,29-2012.00,FileMaker Pro,3.0
10,29-2012.00,Minitab,3.0
10,29-2012.00,Reimbursement screening software,3.0
10,29-2012.00,Microsoft Office software,3.0
10,29-2012.00,Microsoft Excel,3.0
10,29-2012.00,Medical digital imaging software,3.0
10,29-2012.00,Database software,3.0
10,29-2012.00,Monitoring,3.0
10,29-2012.00,Microsoft Word,3.0
10,29-2012.00,Writing,3.0
10,29-2012.00,MEDITECH software,3.0
10,29-2012.00,Mathematics,2.75
10,29-2012.00,Billing software,3.0
11,29-2012.00,Electronic medical record EMR software,3.0
11,29-2012.00,Microsoft PowerPoint,3.0
11,29-2012.00,Google Docs,3.0
11,29-2012.00,Test result delivery software,3.0
11,29-2012.00,Data entry software,3.0
11,29-2012.00,Laboratory information system LIS,3.0
11,29-2012.00,Medical digital imaging software,3.0
11,29-2012.00,Quizlet,3.0
11,29-2012.00,Sunquest Information Systems Sunquest Laboratory,3.0
11,29-2012.00,IBM Notes,3.0
11,29-2012.00,Speaking,3.12
11,29-2012.00,Billing software,3.0
11,29-2012.00,Active Learning,3.0
11,29-2012.00,Reading Comprehension,3.75
12,11-1021.00,StataCorp Stata,3.0
12,11-1021.00,AMG Teleran SalesInSync,3.0
12,11-1021.00,Oracle Primavera Enterprise Project Portfolio Management,3.0
12,11-1021.00,Microsoft Publisher,3.0
12,11-1021.00,IBM Notes,3.0
12,11-1021.00,Sage 50 Accounting,3.0
12,11-1021.00,Oracle Eloqua,3.0
12,11-1021.00,Google Ads,3.0
12,11-1021.00,Social media sites,3.0
12,11-1021.00,Apple macOS,3.0
12,11-1021.00,Microsoft Project,3.0
12,11-1021.00,Personnel scheduling software,3.0
12,11-1021.00,MicroStrategy,3.0
12,11-1021.00,Active Listening,4.0
12,11-1021.00,Autodesk AutoCAD,3.0
12,11-1021.00,Oracle PeopleSoft Financials,3.0
12,11-1021.00,Oracle Fusion Applications,3.0
12,11-1021.00,Evernote,3.0
12,11-1021.00,Shell script,3.0
12,11-1021.00,Supervisory control and data acquisition SCADA software,3.0
12,11-1021.00,Mozilla Firefox,3.0
12,11-1021.00,Dynamic Energy Systems MedAct,3.0
12,11-1021.00,Deacom ERP,3.0
12,11-1021.00,Splunk Enterprise,3.0
12,11-1021.00,Veritas NetBackup,3.0
12,11-1021.00,NetSuite ERP,3.0
12,11-1021.00,Oracle PeopleSoft,3.0
12,11-1021.00,Reading Comprehension,4.0
12,11-1021.00,Microsoft FrontPage,3.0
12,11-1021.00,Microsoft Word,3.0
12,11-1021.00,Microsoft SQL Server,3.0
12,11-1021.00,Microsoft Office software,3.0
12,11-1021.00,Structured query language SQL,3.0
12,11-1021.00,Sugar CRM,3.0
12,11-1021.00,Yardi software,3.0
12,11-1021.00,Salesforce.com Salesforce CRM,3.0
12,11-1021.00,Maximizer Software Maximizer Enterprise,3.0
12,11-1021.00,McAfee,3.0
12,11-1021.00,Sage MAS 500,3.0
12,11-1021.00,Oracle Solaris,3.0
12,11-1021.00,Minitab,3.0
12,11-1021.00,Avidian Technologies Prophet,3.0
12,11-1021.00,Intuit QuickBooks,3.0
12,11-1021.00,Apple Keynote,3.0
12,11-1021.00,InnQuest Software roomMaster,3.0
12,11-1021.00,Blackboard software,3.0
12,11-1021.00,Database software,3.0
12,11-1021.00,Geographic information system GIS software,3.0
12,11-1021.00,Writing,3.5
12,11-1021.00,Savant MobileRanger,3.0
12,11-1021.00,LSA Visual Easy Lean,3.0
12,11-1021.00,CNC Mastercam,3.0
12,11-1021.00,The MathWorks MATLAB,3.0
13,41-4011.00,Salesforce software,3.0
13,41-4011.00,StataCorp Stata,3.0
13,41-4011.00,Microsoft Publisher,3.0
13,41-4011.00,SAS,3.0
13,41-4011.00,IBM Notes,3.0
13,41-4011.00,IBM InfoSphere DataStage,3.0
13,41-4011.00,Microsoft Project,3.0
13,41-4011.00,LogMeIn GoToMeeting,3.0
13,41-4011.00,MicroStrategy,3.0
13,41-4011.00,LogMeIn GoToWebinar,3.0
13,41-4011.00,YouTube,3.0
13,41-4011.00,LinkedIn,3.0
13,41-4011.00,Citrix cloud computing software,3.0
13,41-4011.00,Scheduling software,3.0
13,41-4011.00,Reading Comprehension,3.75
13,41-4011.00,Enterprise application integration EAI software,3.0
13,41-4011.00,Microsoft Exchange,3.0
13,41-4011.00,Salesforce.com Salesforce CRM,3.0
13,41-4011.00,McAfee,3.0
13,41-4011.00,Mathematics,2.88
13,41-4011.00,Science,1.5
13,41-4011.00,Microsoft PowerPoint,3.0
13,41-4011.00,Teradata Database,3.0
13,41-4011.00,InsideSales.com,3.0
13,41-4011.00,Google Analytics,3.0
13,41-4011.00,SAP Sybase SQL Anywhere,3.0
14,29-2012.00,MEDITECH software,3.0
14,29-2012.00,Electronic medical record EMR software,3.0
14,29-2012.00,Microsoft PowerPoint,3.0
14,29-2012.00,Minitab,3.0
14,29-2012.00,Microsoft Office software,3.0
14,29-2012.00,Quality control software,3.0
14,29-2012.00,Test routing software,3.0
14,29-2012.00,IBM Notes,3.0
14,29-2012.00,Hematology laboratory workflow management software,3.0
14,29-2012.00,Sunquest Information Systems Sunquest Laboratory,3.0
14,29-2012.00,Critical Thinking,3.25
14,29-2012.00,Billing software,3.0
14,29-2012.00,Mathematics,2.75
14,29-2012.00,Reading Comprehension,3.75
15,29-2012.00,Science,3.0
15,29-2012.00,FileMaker Pro,3.0
15,29-2012.00,Electronic medical record EMR software,3.0
15,29-2012.00,Microsoft PowerPoint,3.0
15,29-2012.00,Microscopic image capturing software,3.0
15,29-2012.00,Minitab,3.0
15,29-2012.00,Laboratory information system LIS,3.0
15,29-2012.00,Commercial plate reader software,3.0
15,29-2012.00,Quality control software,3.0
15,29-2012.00,Test routing software,3.0
15,29-2012.00,Reading Comprehension,3.75
15,29-2012.00,Speaking,3.12
15,29-2012.00,MEDITECH software,3.0
15,29-2012.00,Email software,3.0
16,19-1029.01,Salesforce software,3.0
16,19-1029.01,Data visualization software,3.0
16,19-1029.01,Microsoft Visual Studio,3.0
16,19-1029.01,dbSNP,3.0
16,19-1029.01,ClustalW,3.0
16,19-1029.01,SAS,3.0
16,19-1029.01,Apache HTTP Server,3.0
16,19-1029.01,Public genomic databases,3.0
16,19-1029.01,Apache Groovy,3.0
16,19-1029.01,Microsoft SQL Server Reporting Services SSRS,3.0
16,19-1029.01,Bioconductor,3.0
16,19-1029.01,DNA sequencing software,3.0
16,19-1029.01,UNIX,3.0
16,19-1029.01,Speaking,4.0
16,19-1029.01,Python,3.0
16,19-1029.01,TIBCO Spotfire S+,3.0
16,19-1029.01,Software development tools,3.0
16,19-1029.01,Primer3,3.0
16,19-1029.01,Reading Comprehension,4.38
16,19-1029.01,ENSEMBL,3.0
16,19-1029.01,Cytel StatXact,3.0
16,19-1029.01,Life Technologies SOLiD,3.0
16,19-1029.01,Accelrys Pipeline Pilot,3.0
16,19-1029.01,PostgreSQL,3.0
16,19-1029.01,Snakemake,3.0
16,19-1029.01,Life Technologies Vector NTI,3.0
16,19-1029.01,GenePattern,3.0
16,19-1029.01,MySQL,3.0
16,19-1029.01,Microsoft PowerPoint,3.0
16,19-1029.01,Oracle Java,3.0
16,19-1029.01,C#,3.0
16,19-1029.01,RNA sequencing software,3.0
16,19-1029.01,Microsoft SharePoint,3.0
16,19-1029.01,Web browser software,3.0
16,19-1029.01,Active Learning,3.88
16,19-1029.01,Apache Hadoop,3.0
18,29-2012.00,Microsoft PowerPoint,3.0
18,29-2012.00,Google Docs,3.0
18,29-2012.00,Reimbursement screening software,3.0
18,29-2012.00,Microsoft Office software,3.0
18,29-2012.00,Microscopic image capturing software,3.0
18,29-2012.00,Test result delivery software,3.0
18,29-2012.00,Commercial plate reader software,3.0
18,29-2012.00,National Instruments LabVIEW,3.0
18,29-2012.00,Medical digital imaging software,3.0
18,29-2012.00,Database software,3.0
18,29-2012.00,Learning Strategies,2.75
18,29-2012.00,IBM Notes,3.0
18,29-2012.00,Speaking,3.12
18,29-2012.00,Monitoring,3.0
19,29-2012.00,Microscopic image capturing software,3.0
19,29-2012.00,Microsoft Office software,3.0
19,29-2012.00,Test result delivery software,3.0
19,29-2012.00,Laboratory information system LIS,3.0
19,29-2012.00,National Instruments LabVIEW,3.0
19,29-2012.00,Commercial plate reader software,3.0
19,29-2012.00,Database software,3.0
19,29-2012.00,Quality control software,3.0
19,29-2012.00,Quizlet,3.0
19,29-2012.00,Critical Thinking,3.25
19,29-2012.00,Speaking,3.12
19,29-2012.00,Active Learning,3.0
19,29-2012.00,Email software,3.0
19,29-2012.00,Microsoft Word,3.0
20,11-1021.00,Qlik Tech QlikView,3.0
20,11-1021.00,Tax software,3.0
20,11-1021.00,AMG Teleran SalesInSync,3.0
20,11-1021.00,Oracle Primavera Enterprise Project Portfolio Management,3.0
20,11-1021.00,Oracle Database,3.0
20,11-1021.00,SAS,3.0
20,11-1021.00,Microsoft Publisher,3.0
20,11-1021.00,IBM Notes,3.0
20,11-1021.00,Google Ads,3.0
20,11-1021.00,Oracle Eloqua,3.0
20,11-1021.00,Oracle E-Business Suite Financials,3.0
20,11-1021.00,Apple macOS,3.0
20,11-1021.00,Microsoft Project,3.0
20,11-1021.00,Apple Final Cut Pro,3.0
20,11-1021.00,Customer information control system CICS,3.0
20,11-1021.00,MicroStrategy,3.0
20,11-1021.00,Atlassian JIRA,3.0
20,11-1021.00,Vanguard Software Vanguard Sales Manager,3.0
20,11-1021.00,Evernote,3.0
20,11-1021.00,Payroll software,3.0
20,11-1021.00,Splunk Enterprise,3.0
20,11-1021.00,Adobe Photoshop,3.0
20,11-1021.00,Oracle PeopleSoft,3.0
20,11-1021.00,Veritas NetBackup,3.0
20,11-1021.00,Reading Comprehension,4.0
20,11-1021.00,Microsoft FrontPage,3.0
20,11-1021.00,Act!,3.0
20,11-1021.00,Puppet,3.0
20,11-1021.00,Microsoft SQL Server,3.0
20,11-1021.00,Microsoft Access,3.0
20,11-1021.00,Structured query language SQL,3.0
20,11-1021.00,Fund accounting software,3.0
20,11-1021.00,Microsoft OneNote,3.0
20,11-1021.00,IBM Power Systems software,3.0
20,11-1021.00,SAP Business Objects,3.0
20,11-1021.00,Google Drive,3.0
20,11-1021.00,McAfee,3.0
20,11-1021.00,Marketo Marketing Automation,3.0
20,11-1021.00,Software on Sailboats Desktop Sales Manager,3.0
20,11-1021.00,Oracle Solaris,3.0
20,11-1021.00,Datawatch Monarch,3.0
20,11-1021.00,Mathematics,2.62
20,11-1021.00,Science,1.5
20,11-1021.00,Minitab,3.0
20,11-1021.00,Atlassian Confluence,3.0
20,11-1021.00,Avidian Technologies Prophet,3.0
20,11-1021.00,SeaMonkey,3.0
20,11-1021.00,Microsoft Outlook,3.0
20,11-1021.00,Flipgrid,3.0
20,11-1021.00,Medical condition coding software,3.0
20,11-1021.00,Microsoft Dynamics,3.0
20,11-1021.00,Google Analytics,3.0
20,11-1021.00,Apache Hadoop,3.0
21,19-1029.01,Microsoft Visual Studio,3.0
21,19-1029.01,StataCorp Stata,3.0
21,19-1029.01,dbSNP,3.0
21,19-1029.01,Microsoft Azure software,3.0
21,19-1029.01,Formula translation/translator FORTRAN,3.0
21,19-1029.01,Oracle PL/SQL,3.0
21,19-1029.01,C,3.0
21,19-1029.01,SAS,3.0
21,19-1029.01,Microsoft Visual Basic for Applications VBA,3.0
21,19-1029.01,Public genomic databases,3.0
21,19-1029.01,Docker,3.0
21,19-1029.01,Scala,3.0
21,19-1029.01,Microsoft SQL Server Reporting Services SSRS,3.0
21,19-1029.01,DNA sequencing software,3.0
21,19-1029.01,Speaking,4.0
21,19-1029.01,Shell script,3.0
21,19-1029.01,BioPerl,3.0
21,19-1029.01,GitHub,3.0
21,19-1029.01,TIBCO Spotfire S+,3.0
21,19-1029.01,Hypertext markup language HTML,3.0
21,19-1029.01,Microsoft SQL Server,3.0
21,19-1029.01,Cytel StatXact,3.0
21,19-1029.01,Accelrys Pipeline Pilot,3.0
21,19-1029.01,NCBI RefSeq,3.0
21,19-1029.01,jQuery,3.0
21,19-1029.01,Snakemake,3.0
21,19-1029.01,Microsoft Active Server Pages ASP,3.0
21,19-1029.01,Bioconductor software,3.0
21,19-1029.01,TopHat,3.0
21,19-1029.01,JavaScript Object Notation JSON,3.0
21,19-1029.01,Mathematics,3.88
21,19-1029.01,Microsoft SharePoint,3.0
21,19-1029.01,Web browser software,3.0
21,19-1029.01,Tableau,3.0
21,19-1029.01,The MathWorks MATLAB,3.0
21,19-1029.01,Monitoring,3.38
22,29-2012.00,FileMaker Pro,3.0
22,29-2012.00,Google Docs,3.0
22,29-2012.00,Reimbursement screening software,3.0
22,29-2012.00,Microsoft Outlook,3.0
22,29-2012.00,Microscopic image capturing software,3.0
22,29-2012.00,Test result delivery software,3.0
22,29-2012.00,Data entry software,3.0
22,29-2012.00,Quality control software,3.0
22,29-2012.00,Test routing software,3.0
22,29-2012.00,Sunquest Information Systems Sunquest Laboratory,3.0
22,29-2012.00,Critical Thinking,3.25
22,29-2012.00,Writing,3.0
22,29-2012.00,Billing software,3.0
22,29-2012.00,Active Learning,3.0
23,11-1021.00,Qlik Tech QlikView,3.0
23,11-1021.00,Salesforce software,3.0
23,11-1021.00,StataCorp Stata,3.0
23,11-1021.00,Tax software,3.0
23,11-1021.00,AMG Teleran SalesInSync,3.0
23,11-1021.00,R,3.0
23,11-1021.00,SAS,3.0
23,11-1021.00,Adobe Creative Cloud software,3.0
23,11-1021.00,Google Ads,3.0
23,11-1021.00,Microsoft Visual Basic for Applications VBA,3.0
23,11-1021.00,Microsoft Dynamics GP,3.0
23,11-1021.00,Mozilla Thunderbird,3.0
23,11-1021.00,Social media sites,3.0
23,11-1021.00,Oracle Taleo,3.0
23,11-1021.00,Microsoft Project,3.0
23,11-1021.00,Screencastify,3.0
23,11-1021.00,Apple Final Cut Pro,3.0
23,11-1021.00,Customer information control system CICS,3.0
23,11-1021.00,Active Listening,4.0
23,11-1021.00,LinkedIn,3.0
23,11-1021.00,GroupMe,3.0
23,11-1021.00,Oracle Fusion Applications,3.0
23,11-1021.00,Evernote,3.0
23,11-1021.00,Citrix cloud computing software,3.0
23,11-1021.00,Mozilla Firefox,3.0
23,11-1021.00,Delphi Technology,3.0
23,11-1021.00,Deacom ERP,3.0
23,11-1021.00,Microsoft Internet Explorer,3.0
23,11-1021.00,Adobe Photoshop,3.0
23,11-1021.00,Oracle PeopleSoft,3.0
23,11-1021.00,Google Slides,3.0
23,11-1021.00,Structured query language SQL,3.0
23,11-1021.00,Yardi software,3.0
23,11-1021.00,Critical Thinking,3.88
23,11-1021.00,ActionWare,3.0
23,11-1021.00,Google Drive,3.0
23,11-1021.00,SAP Business Objects,3.0
23,11-1021.00,Datawatch Monarch,3.0
23,11-1021.00,Atlassian Confluence,3.0
23,11-1021.00,Microsoft PowerPoint,3.0
23,11-1021.00,Minitab,3.0
23,11-1021.00,Microsoft Outlook,3.0
23,11-1021.00,Intuit QuickBooks,3.0
23,11-1021.00,SeaMonkey,3.0
23,11-1021.00,Oracle JD Edwards EnterpriseOne,3.0
23,11-1021.00,Microsoft Windows,3.0
23,11-1021.00,IBM Domino,3.0
23,11-1021.00,Geographic information system GIS software,3.0
23,11-1021.00,HubSpot software,3.0
23,11-1021.00,LSA Visual Easy Lean,3.0
23,11-1021.00,Eko,3.0
23,11-1021.00,Blackbaud The Raiser's Edge,3.0
23,11-1021.00,Monitoring,4.0
24,19-1029.01,Canu,3.0
24,19-1029.01,dbSNP,3.0
24,19-1029.01,Microsoft Azure software,3.0
24,19-1029.01,Microsoft Excel,3.0
24,19-1029.01,Oracle Database,3.0
24,19-1029.01,C,3.0
24,19-1029.01,Genedata Expressionist,3.0
24,19-1029.01,Docker,3.0
24,19-1029.01,UNIX,3.0
24,19-1029.01,C++,3.0
24,19-1029.01,Shell script,3.0
24,19-1029.01,Biomatters Geneious,3.0
24,19-1029.01,Software development tools,3.0
24,19-1029.01,Reading Comprehension,4.38
24,19-1029.01,JavaScript,3.0
24,19-1029.01,Microsoft Access,3.0
24,19-1029.01,Velvet,3.0
24,19-1029.01,Git,3.0
24,19-1029.01,Relational database management software,3.0
24,19-1029.01,Apache Accumulo,3.0
24,19-1029.01,Snakemake,3.0
24,19-1029.01,Critical Thinking,4.0
24,19-1029.01,Django,3.0
24,19-1029.01,Object oriented development environment software,3.0
24,19-1029.01,Life Technologies Vector NTI,3.0
24,19-1029.01,Bioconductor software,3.0
24,19-1029.01,GenePattern,3.0
24,19-1029.01,Bash,3.0
24,19-1029.01,Mathematics,3.88
24,19-1029.01,BWA,3.0
24,19-1029.01,IBM SPSS Statistics,3.0
24,19-1029.01,User interface design software,3.0
24,19-1029.01,C#,3.0
24,19-1029.01,RNA sequencing software,3.0
24,19-1029.01,Ruby,3.0
24,19-1029.01,Tableau,3.0
26,11-1021.00,Quest Erwin Data Modeler,3.0
26,11-1021.00,Google Docs,3.0
26,11-1021.00,NetSuite NetCRM,3.0
26,11-1021.00,Slack,3.0
26,11-1021.00,AMG Teleran SalesInSync,3.0
26,11-1021.00,R,3.0
26,11-1021.00,Oracle Database,3.0
26,11-1021.00,Adobe Creative Cloud software,3.0
26,11-1021.00,SAP Crystal Reports,3.0
26,11-1021.00,Facebook,3.0
26,11-1021.00,IBM Notes,3.0
26,11-1021.00,Mozilla Thunderbird,3.0
26,11-1021.00,Siemens NX,3.0
26,11-1021.00,vtiger CRM,3.0
26,11-1021.00,Apple macOS,3.0
26,11-1021.00,Apple Final Cut Pro,3.0
26,11-1021.00,Nagios,3.0
26,11-1021.00,Speaking,4.0
26,11-1021.00,Vanguard Software Vanguard Sales Manager,3.0
26,11-1021.00,Citrix cloud computing software,3.0
26,11-1021.00,Adobe Photoshop,3.0
26,11-1021.00,Oracle PeopleSoft,3.0
26,11-1021.00,NetSuite ERP,3.0
26,11-1021.00,Google Slides,3.0
26,11-1021.00,Puppet,3.0
26,11-1021.00,ADP Workforce Now,3.0
26,11-1021.00,Fund accounting software,3.0
26,11-1021.00,Microsoft Exchange,3.0
26,11-1021.00,Adobe Acrobat,3.0
26,11-1021.00,Salesforce.com Salesforce CRM,3.0
26,11-1021.00,Microsoft OneNote,3.0
26,11-1021.00,IBM Power Systems software,3.0
26,11-1021.00,SAP Business Objects,3.0
26,11-1021.00,Maximizer Software Maximizer Enterprise,3.0
26,11-1021.00,McAfee,3.0
26,11-1021.00,Software on Sailboats Desktop Sales Manager,3.0
26,11-1021.00,Sage MAS 500,3.0
26,11-1021.00,Job control language JCL,3.0
26,11-1021.00,IBM Cognos Impromptu,3.0
26,11-1021.00,Microsoft PowerPoint,3.0
26,11-1021.00,Microsoft Outlook,3.0
26,11-1021.00,Avidian Technologies Prophet,3.0
26,11-1021.00,LexisNexis,3.0
26,11-1021.00,Teradata Database,3.0
26,11-1021.00,InnQuest Software roomMaster,3.0
26,11-1021.00,Oracle JD Edwards EnterpriseOne,3.0
26,11-1021.00,Microsoft Windows,3.0
26,11-1021.00,Medical condition coding software,3.0
26,11-1021.00,Learning Strategies,3.0
26,11-1021.00,IBM Domino,3.0
26,11-1021.00,Microsoft SharePoint,3.0
26,11-1021.00,LSA Visual Easy Lean,3.0
26,11-1021.00,Active Learning,3.62
27,41-4012.00,Qlik Tech QlikView,3.0
27,41-4012.00,Google Docs,3.0
27,41-4012.00,Slack,3.0
27,41-4012.00,Oracle Database,3.0
27,41-4012.00,SAS,3.0
27,41-4012.00,Adobe Creative Cloud software,3.0
27,41-4012.00,IBM Notes,3.0
27,41-4012.00,SalesInSync,3.0
27,41-4012.00,Microsoft Publisher,3.0
27,41-4012.00,Microsoft Dynamics GP,3.0
27,41-4012.00,Ardexus Mode,3.0
27,41-4012.00,Microsoft Visio,3.0
27,41-4012.00,Commence Application Suite,3.0
27,41-4012.00,vtiger CRM,3.0
27,41-4012.00,Oracle E-Business Suite Financials,3.0
27,41-4012.00,Apple macOS,3.0
27,41-4012.00,Adobe Illustrator,3.0
27,41-4012.00,Apache Groovy,3.0
27,41-4012.00,SSA Global BPCS,3.0
27,41-4012.00,Handheld computer device software,3.0
27,41-4012.00,Eclipse IDE,3.0
27,41-4012.00,Autodesk AutoCAD,3.0
27,41-4012.00,Contract tracking software,3.0
27,41-4012.00,GroupMe,3.0
27,41-4012.00,Citrix cloud computing software,3.0
27,41-4012.00,SmugMug Flickr,3.0
27,41-4012.00,Microsoft Internet Explorer,3.0
27,41-4012.00,Hypertext markup language HTML,3.0
