EmployeeNumber,ONET_SOC_Code,Missing_Skill_Name,Importance_Weight,Recommended_Course_ID,Recommended_Course_Title,Match_Similarity
1,41-4012.00,Mozilla Firefox,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
1,41-4012.00,SmugMug Flickr,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
1,41-4012.00,Soffront CRM Portal,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
1,41-4012.00,Google Slides,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
1,41-4012.00,FaceTime,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
1,41-4012.00,Microsoft Word,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.3265
1,41-4012.00,Virtual private networking VPN software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
1,41-4012.00,Relational database management software,3.0,CRS-103,Python & Software Engineering Architecture,0.2532
1,41-4012.00,Sage SalesLogix,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
1,41-4012.00,Adobe Acrobat,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
1,41-4012.00,Critical Thinking,3.5,CRS-101,Critical Thinking & Strategic Problem Solving,0.4326
1,41-4012.00,Microsoft OneNote,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.3265
1,41-4012.00,ACT! Premium,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
1,41-4012.00,Microsoft Visual Basic,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.3265
1,41-4012.00,Google Drive,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
1,41-4012.00,IBM Power Systems software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
1,41-4012.00,Mathematics,2.25,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
1,41-4012.00,Tigerpaw,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
1,41-4012.00,Relavis CRM Portal,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
1,41-4012.00,Adobe InDesign,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
1,41-4012.00,Advantage Signature Marketing Group Web Master,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.2163
1,41-4012.00,Intuit QuickBooks,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
1,41-4012.00,IBM SPSS Statistics,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
1,41-4012.00,Oracle JD Edwards EnterpriseOne,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
1,41-4012.00,Microsoft Windows,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.3265
1,41-4012.00,Blackboard software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
1,41-4012.00,Geographic information system GIS software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
1,41-4012.00,Speaking,4.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
1,41-4012.00,Microsoft Dynamics,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.3265
1,41-4012.00,Aptean Onyx CRM,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
1,41-4012.00,SAP software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
1,41-4012.00,Eko,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
2,19-1029.01,StataCorp Stata,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
2,19-1029.01,dbSNP,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
2,19-1029.01,Formula translation/translator FORTRAN,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
2,19-1029.01,Bowtie,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
2,19-1029.01,Genome Analysis Toolkit GATK,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
2,19-1029.01,R,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
2,19-1029.01,C,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
2,19-1029.01,SAS,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
2,19-1029.01,Apache HTTP Server,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
2,19-1029.01,Extensible markup language XML,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
2,19-1029.01,Python,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
2,19-1029.01,Oracle JavaServer Pages JSP,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
2,19-1029.01,Hypertext markup language HTML,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
2,19-1029.01,ENSEMBL,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
2,19-1029.01,Microsoft Access,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.3265
2,19-1029.01,Life Technologies SOLiD,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
2,19-1029.01,Relational database management software,3.0,CRS-103,Python & Software Engineering Architecture,0.2532
2,19-1029.01,Writing,4.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
2,19-1029.01,Accelrys Pipeline Pilot,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
2,19-1029.01,GenBank,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
2,19-1029.01,NCBI RefSeq,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
2,19-1029.01,Apache Accumulo,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
2,19-1029.01,PostgreSQL,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
2,19-1029.01,Snakemake,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
2,19-1029.01,Critical Thinking,4.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.4326
2,19-1029.01,Roche 454 Life Sciences GS Data Analysis,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.2711
2,19-1029.01,Object oriented development environment software,3.0,CRS-103,Python & Software Engineering Architecture,0.5377
2,19-1029.01,Life Technologies Vector NTI,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
2,19-1029.01,Bioconductor software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
2,19-1029.01,GenePattern,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
2,19-1029.01,Linux,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
2,19-1029.01,IBM SPSS Statistics,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
2,19-1029.01,RNA sequencing software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
2,19-1029.01,Microsoft SharePoint,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.3265
2,19-1029.01,Tableau,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
2,19-1029.01,Monitoring,3.38,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
4,29-2012.00,FileMaker Pro,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
4,29-2012.00,Microsoft Outlook,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.3265
4,29-2012.00,Reimbursement screening software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
4,29-2012.00,Microsoft Office software,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.2309
4,29-2012.00,Data entry software,3.0,CRS-103,Python & Software Engineering Architecture,0.4034
4,29-2012.00,Microsoft Excel,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.4618
4,29-2012.00,Commercial plate reader software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
4,29-2012.00,Quality control software,3.0,CRS-107,Agile Project Management & Operations,0.3808
4,29-2012.00,Learning Strategies,2.75,CRS-101,Critical Thinking & Strategic Problem Solving,0.3059
4,29-2012.00,IBM Notes,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
4,29-2012.00,Billing software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
4,29-2012.00,Active Learning,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.4326
4,29-2012.00,Reading Comprehension,3.75,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
4,29-2012.00,Microsoft Word,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.3265
5,19-1029.01,Tableau,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
5,19-1029.01,Canu,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
5,19-1029.01,Data visualization software,3.0,CRS-103,Python & Software Engineering Architecture,0.4034
5,19-1029.01,StataCorp Stata,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
5,19-1029.01,Microsoft SharePoint,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.3265
5,19-1029.01,Microsoft Excel,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.4618
5,19-1029.01,Perl,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
5,19-1029.01,Genome Analysis Toolkit GATK,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
5,19-1029.01,SAS,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
5,19-1029.01,Microsoft Visual Basic for Applications VBA,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.3265
5,19-1029.01,Public genomic databases,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.3265
5,19-1029.01,Bioconductor,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
5,19-1029.01,DNA sequencing software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
5,19-1029.01,C++,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
5,19-1029.01,Illumina Laboratory Information Management System LIMS,3.0,CRS-106,Technical Sales & Enterprise Negotiation,0.2433
5,19-1029.01,Shell script,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
5,19-1029.01,GitHub,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
5,19-1029.01,Tibco S-PLUS,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
5,19-1029.01,Primer3,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
5,19-1029.01,ENSEMBL,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
5,19-1029.01,Git,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
5,19-1029.01,Cytel StatXact,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
5,19-1029.01,GenBank,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
5,19-1029.01,jQuery,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
5,19-1029.01,PostgreSQL,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
5,19-1029.01,Snakemake,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
5,19-1029.01,Object oriented development environment software,3.0,CRS-103,Python & Software Engineering Architecture,0.5377
5,19-1029.01,Cufflinks,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
5,19-1029.01,TopHat,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
5,19-1029.01,Bash,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
5,19-1029.01,Science,4.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
5,19-1029.01,BWA,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
5,19-1029.01,Oracle Java,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
5,19-1029.01,User interface design software,3.0,CRS-103,Python & Software Engineering Architecture,0.439
5,19-1029.01,Speaking,4.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
5,19-1029.01,Active Learning,3.88,CRS-101,Critical Thinking & Strategic Problem Solving,0.4326
7,29-2012.00,Microsoft PowerPoint,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.3265
7,29-2012.00,Reimbursement screening software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
7,29-2012.00,Microsoft Office software,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.2309
7,29-2012.00,Microscopic image capturing software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
7,29-2012.00,Commercial plate reader software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
7,29-2012.00,National Instruments LabVIEW,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
7,29-2012.00,Specimen tracking software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
7,29-2012.00,Medical digital imaging software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
7,29-2012.00,Quality control software,3.0,CRS-107,Agile Project Management & Operations,0.3808
7,29-2012.00,Sunquest Information Systems Sunquest Laboratory,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
7,29-2012.00,Critical Thinking,3.25,CRS-101,Critical Thinking & Strategic Problem Solving,0.4326
7,29-2012.00,MEDITECH software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
7,29-2012.00,Reading Comprehension,3.75,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
7,29-2012.00,Monitoring,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
8,29-2012.00,Electronic medical record EMR software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
8,29-2012.00,Microsoft PowerPoint,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.3265
8,29-2012.00,Minitab,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
8,29-2012.00,Microsoft Office software,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.2309
8,29-2012.00,Medical digital imaging software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
8,29-2012.00,Quizlet,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
8,29-2012.00,Quality control software,3.0,CRS-107,Agile Project Management & Operations,0.3808
8,29-2012.00,Test routing software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
8,29-2012.00,Hematology laboratory workflow management software,3.0,CRS-103,Python & Software Engineering Architecture,0.2532
8,29-2012.00,Critical Thinking,3.25,CRS-101,Critical Thinking & Strategic Problem Solving,0.4326
8,29-2012.00,Writing,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
8,29-2012.00,Billing software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
8,29-2012.00,SAP software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
8,29-2012.00,Active Learning,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.4326
10,29-2012.00,Electronic medical record EMR software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
10,29-2012.00,FileMaker Pro,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
10,29-2012.00,Minitab,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
10,29-2012.00,Reimbursement screening software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
10,29-2012.00,Microsoft Office software,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.2309
10,29-2012.00,Microsoft Excel,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.4618
10,29-2012.00,Medical digital imaging software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
10,29-2012.00,Database software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
10,29-2012.00,Monitoring,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
10,29-2012.00,Microsoft Word,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.3265
10,29-2012.00,Writing,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
10,29-2012.00,MEDITECH software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
10,29-2012.00,Mathematics,2.75,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
10,29-2012.00,Billing software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
11,29-2012.00,Electronic medical record EMR software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
11,29-2012.00,Microsoft PowerPoint,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.3265
11,29-2012.00,Google Docs,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
11,29-2012.00,Test result delivery software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
11,29-2012.00,Data entry software,3.0,CRS-103,Python & Software Engineering Architecture,0.4034
11,29-2012.00,Laboratory information system LIS,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
11,29-2012.00,Medical digital imaging software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
11,29-2012.00,Quizlet,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
11,29-2012.00,Sunquest Information Systems Sunquest Laboratory,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
11,29-2012.00,IBM Notes,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
11,29-2012.00,Speaking,3.12,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
11,29-2012.00,Billing software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
11,29-2012.00,Active Learning,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.4326
11,29-2012.00,Reading Comprehension,3.75,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,StataCorp Stata,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,AMG Teleran SalesInSync,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,Oracle Primavera Enterprise Project Portfolio Management,3.0,CRS-107,Agile Project Management & Operations,0.4044
12,11-1021.00,Microsoft Publisher,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.3265
12,11-1021.00,IBM Notes,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,Sage 50 Accounting,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,Oracle Eloqua,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,Google Ads,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,Social media sites,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,Apple macOS,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,Microsoft Project,3.0,CRS-107,Agile Project Management & Operations,0.2332
12,11-1021.00,Personnel scheduling software,3.0,CRS-105,Executive Leadership & People Management,0.1904
12,11-1021.00,MicroStrategy,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,Active Listening,4.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.3059
12,11-1021.00,Autodesk AutoCAD,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,Oracle PeopleSoft Financials,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,Oracle Fusion Applications,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,Evernote,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,Shell script,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,Supervisory control and data acquisition SCADA software,3.0,CRS-103,Python & Software Engineering Architecture,0.3197
12,11-1021.00,Mozilla Firefox,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,Dynamic Energy Systems MedAct,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,Deacom ERP,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,Splunk Enterprise,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,Veritas NetBackup,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,NetSuite ERP,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,Oracle PeopleSoft,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,Reading Comprehension,4.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,Microsoft FrontPage,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.3265
12,11-1021.00,Microsoft Word,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.3265
12,11-1021.00,Microsoft SQL Server,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.4618
12,11-1021.00,Microsoft Office software,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.2309
12,11-1021.00,Structured query language SQL,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.3265
12,11-1021.00,Sugar CRM,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,Yardi software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
12,11-1021.00,Salesforce.com Salesforce CRM,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,Maximizer Software Maximizer Enterprise,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
12,11-1021.00,McAfee,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,Sage MAS 500,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,Oracle Solaris,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,Minitab,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,Avidian Technologies Prophet,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,Intuit QuickBooks,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,Apple Keynote,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,InnQuest Software roomMaster,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
12,11-1021.00,Blackboard software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
12,11-1021.00,Database software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
12,11-1021.00,Geographic information system GIS software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
12,11-1021.00,Writing,3.5,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,Savant MobileRanger,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,LSA Visual Easy Lean,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,CNC Mastercam,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
12,11-1021.00,The MathWorks MATLAB,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
13,41-4011.00,Salesforce software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
13,41-4011.00,StataCorp Stata,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
13,41-4011.00,Microsoft Publisher,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.3265
13,41-4011.00,SAS,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
13,41-4011.00,IBM Notes,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
13,41-4011.00,IBM InfoSphere DataStage,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
13,41-4011.00,Microsoft Project,3.0,CRS-107,Agile Project Management & Operations,0.2332
13,41-4011.00,LogMeIn GoToMeeting,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
13,41-4011.00,MicroStrategy,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
13,41-4011.00,LogMeIn GoToWebinar,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
13,41-4011.00,YouTube,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
13,41-4011.00,LinkedIn,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
13,41-4011.00,Citrix cloud computing software,3.0,CRS-103,Python & Software Engineering Architecture,0.2195
13,41-4011.00,Scheduling software,3.0,CRS-107,Agile Project Management & Operations,0.2332
13,41-4011.00,Reading Comprehension,3.75,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
13,41-4011.00,Enterprise application integration EAI software,3.0,CRS-103,Python & Software Engineering Architecture,0.439
13,41-4011.00,Microsoft Exchange,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.3265
13,41-4011.00,Salesforce.com Salesforce CRM,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
13,41-4011.00,McAfee,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
13,41-4011.00,Mathematics,2.88,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
13,41-4011.00,Science,1.5,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
13,41-4011.00,Microsoft PowerPoint,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.3265
13,41-4011.00,Teradata Database,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
13,41-4011.00,InsideSales.com,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
13,41-4011.00,Google Analytics,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
13,41-4011.00,SAP Sybase SQL Anywhere,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.3265
14,29-2012.00,MEDITECH software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
14,29-2012.00,Electronic medical record EMR software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
