EmployeeNumber,Missing_Skills_Count,Total_Weighted_Gap_Score
162,13,41.62
163,52,155.38
164,36,111.14
165,26,78.13
167,52,155.75
169,14,42.87
170,53,160.5
171,36,111.26
174,52,158.12
175,52,156.13
176,52,156.87
177,64,193.13
178,53,160.62
179,53,160.5
182,52,157.5
183,52,156.37
184,64,193.25
190,14,41.75
192,36,110.88
193,36,111.38
194,36,110.88
195,52,157.5
197,36,110.38
198,14,42.25
199,53,161.5
200,14,41.5
201,14,42.37
202,36,109.88
204,52,156.63
205,52,157.5
206,14,43.49
207,52,152.5
208,53,160.12
211,53,159.0
214,36,110.88
215,52,155.62
216,52,153.37
217,36,110.88
218,36,111.0
221,36,111.38
223,26,80.38
224,36,111.26
226,53,160.12
227,36,109.38
228,52,157.24
230,52,156.5
231,36,110.38
233,36,110.64
235,52,154.5
238,14,42.62
239,14,41.62
240,52,156.13
241,36,110.0
242,36,109.88
243,14,42.0
244,52,154.25
245,14,41.75
246,36,110.14
247,36,110.38
248,52,153.75
249,14,42.0
250,53,161.5
252,36,110.88
253,53,158.5
254,13,41.38
256,53,158.12
258,26,78.38
259,53,160.5
260,36,110.38
261,53,159.38
262,36,109.88
264,53,160.12
267,36,110.88
269,14,42.62
270,53,158.5
271,53,158.0
273,53,159.62
274,53,161.38
275,53,160.5
277,36,110.0
281,14,42.5
282,26,78.63
283,52,155.5
284,36,109.76
286,14,42.87
287,26,76.37
288,26,78.75
291,52,156.63
292,53,157.62
293,52,156.87
296,13,41.76
297,36,109.88
298,53,159.0
299,52,156.37
300,36,110.26
302,52,154.63
303,52,156.75
304,14,42.37
305,36,110.76
306,13,41.88
307,52,155.5
308,53,160.62
309,36,110.0
311,52,156.0
312,52,155.12
314,52,154.25
315,36,111.26
316,14,42.99
319,53,158.12
321,64,190.24
323,53,160.5
325,14,42.0
327,53,158.12
328,14,43.0
329,53,158.5
330,52,154.37
331,14,42.62
332,14,42.37
333,52,154.62
334,36,110.76
335,36,111.0
336,53,158.88
337,13,42.12
338,36,110.38
339,53,158.5
340,36,110.0
341,53,162.0
342,53,160.62
343,26,79.51
346,36,111.26
347,36,110.88
349,52,157.5
350,53,159.62
351,14,41.87
352,13,41.88
353,36,110.38
355,14,42.37
359,14,41.5
361,52,154.75
362,14,43.0
363,53,161.88
364,14,42.49
366,52,155.5
367,26,78.88
369,26,78.63
372,26,77.13
373,14,41.75
374,53,160.62
376,53,160.5
377,36,109.88
378,52,155.62
379,36,109.26
380,13,42.0
381,53,160.5
382,52,155.88
384,53,161.88
385,13,40.5
386,13,41.5
387,52,154.37
388,52,157.25
389,14,42.12
390,26,79.26
391,36,110.0
392,14,42.87
393,26,78.13
394,14,41.87
395,36,109.88
396,13,42.12
397,36,110.88
399,52,156.75
401,52,158.12
403,36,110.88
404,52,155.5
405,14,41.75
406,52,156.75
407,14,41.75
408,53,160.62
410,53,160.5
411,52,156.37
412,26,80.0
416,52,157.5
417,26,79.75
419,14,41.87
420,52,156.63
421,13,41.38
422,26,80.01
423,36,110.88
424,64,193.37
425,14,42.87
426,36,111.26
428,53,160.62
429,53,158.5
430,14,42.0
431,26,79.25
433,36,111.26
434,36,110.88
436,52,157.25
437,52,157.88
438,52,154.88
439,36,111.38
440,36,109.88
441,36,110.0
442,53,161.88
444,53,160.12
445,52,156.75
446,52,156.5
447,13,41.24
448,14,41.62
449,52,154.24
450,36,109.88
451,26,77.38
452,36,110.88
453,52,156.87
454,14,42.75
455,14,42.87
456,52,158.12
458,52,156.63
460,53,161.5
461,13,41.38
462,53,161.5
463,52,155.62
464,53,160.62
465,36,110.26
466,53,158.62
467,52,155.5
468,13,41.88
469,52,154.62
470,64,192.25
471,14,42.62
473,53,162.0
474,36,111.0
475,52,154.62
476,52,156.75
477,26,78.62
478,52,155.25
479,52,156.75
481,52,154.62
482,26,79.38
483,14,42.62
484,52,156.63
485,52,154.25
486,14,42.0
487,53,158.62
488,52,158.25
491,26,78.5
492,52,157.88
493,36,110.38
494,52,154.63
495,36,111.0
496,26,79.74
497,14,42.12
498,52,157.25
499,26,76.88
500,52,154.88
501,36,110.0
502,52,155.25
505,53,158.38
507,52,157.62
508,52,155.12
510,36,110.38
511,36,111.0
513,52,154.88
514,36,110.0
515,14,41.87
516,52,155.38
517,14,42.74
518,53,160.5
520,13,40.5
521,14,41.87
522,13,41.5
523,52,155.12
524,53,160.24
525,14,42.99
526,26,79.25
527,52,156.62
529,36,110.88
530,14,41.87
531,53,159.0
532,52,157.5
533,52,155.5
534,52,154.63
536,14,42.75
538,14,42.37
543,53,161.88
544,36,110.88
546,53,160.5
547,36,110.38
548,53,161.88
549,53,160.12
550,53,160.5
551,26,80.13
554,52,156.0
555,52,157.75
556,14,41.87
558,53,159.0
560,36,111.26
562,14,42.75
564,13,42.0
565,36,110.38
566,64,194.0
567,52,156.37
568,53,157.74
569,53,161.62
571,14,43.37
573,52,156.75
574,53,161.12
575,13,41.12
577,14,42.75
578,14,42.75
579,36,109.38
580,52,156.37
581,53,159.5
582,53,162.0
584,14,42.62
585,52,156.5
586,26,79.0
587,26,78.38
590,64,193.37
591,14,42.12
592,52,155.75
593,14,42.0
595,52,157.5
597,53,160.0
599,52,157.5
600,52,158.12
601,53,161.0
602,14,42.75
604,52,154.75
605,53,161.5
606,52,156.63
608,64,193.13
611,53,159.38
612,13,41.88
613,53,161.62
614,52,157.24
615,52,156.74
616,26,78.38
618,52,157.13
620,52,155.38
621,52,156.62
622,14,42.62
623,53,161.5
624,26,78.37
625,53,160.62
626,52,156.5
630,36,109.88
631,52,154.75
632,52,156.37
634,26,78.51
635,53,159.12
638,13,41.62
639,36,110.88
641,52,156.87
643,14,42.0
644,53,160.88
645,52,154.25
647,14,42.75
648,52,153.75
649,36,110.88
650,52,154.37
652,14,42.87
653,52,157.37
655,36,110.88
656,52,155.0
657,36,110.38
659,26,76.37
661,13,41.88
662,36,110.88
663,14,43.37
664,53,160.12
665,64,191.12
666,52,155.87
667,52,155.62
669,52,156.63
671,53,161.5
675,36,110.26
677,52,154.25
679,36,111.38
680,36,110.38
682,52,154.62
683,36,110.76
684,52,155.5
686,14,42.37
689,53,159.24
690,52,155.5
691,36,109.88
692,26,80.13
698,64,192.25
699,53,161.38
700,36,110.0
701,36,110.76
702,36,111.26
704,14,42.0
705,36,111.38
707,52,156.5
709,52,157.25
710,36,111.0
712,52,155.38
714,52,157.37
715,36,111.26
716,14,42.87
717,26,78.5
720,52,153.37
721,26,80.13
722,52,157.5
723,52,155.75
724,26,79.63
725,53,159.38
727,13,40.12
728,52,156.5
729,52,155.87
730,13,41.62
731,53,161.88
732,52,154.88
733,53,160.5
734,53,160.62
738,52,154.37
741,36,110.26
742,13,40.88
743,53,160.88
744,14,42.5
746,52,157.25
747,52,154.88
749,52,157.88
752,36,111.38
754,52,154.75
757,26,77.0
758,14,42.5
760,64,192.0
762,26,77.0
763,36,109.38
764,26,79.25
766,52,157.62
769,14,41.75
771,26,79.75
772,14,42.87
773,36,109.88
775,53,159.38
776,53,161.0
780,36,110.88
781,52,156.37
783,52,156.37
784,36,110.26
785,52,155.87
786,52,157.24
787,53,158.12
789,52,155.62
791,36,110.26
792,14,42.62
793,26,79.01
796,52,155.62
797,36,111.26
799,53,161.5
800,52,157.62
802,36,109.38
803,53,160.0
804,36,110.88
805,52,156.37
806,14,42.37
807,26,78.75
808,52,157.5
809,53,161.5
811,14,43.62
812,14,42.62
813,14,42.74
815,13,41.12
816,14,42.62
817,13,41.38
819,52,153.37
820,53,161.0
823,53,161.12
824,36,110.38
825,13,41.5
826,36,111.26
827,53,157.62
828,36,110.88
829,64,193.25
830,53,160.62
832,14,42.62
833,53,160.88
834,36,110.0
836,53,158.12
837,26,79.88
838,36,110.76
840,52,157.63
842,52,153.37
843,13,40.88
844,13,41.38
845,53,161.12
846,52,153.37
847,64,192.13
848,36,110.88
850,36,110.38
851,53,160.5
852,26,78.5
854,36,110.88
855,52,155.88
856,36,110.0
857,52,155.5
859,52,157.62
861,36,111.0
862,52,156.87
864,52,155.75
865,36,111.26
867,53,159.5
868,52,155.87
869,64,192.0
872,53,158.12
874,14,42.62
875,36,111.0
878,64,195.12
879,52,157.5
880,53,161.62
881,36,110.0
882,14,42.74
885,52,155.12
887,36,110.38
888,14,42.62
889,52,155.12
893,52,156.5
894,14,42.62
895,36,110.88
896,52,157.24
897,52,155.62
899,53,160.5
900,52,155.62
901,13,41.5
902,26,78.62
903,52,155.87
904,52,157.62
905,53,161.62
909,64,194.0
910,64,193.0
911,14,41.87
912,14,41.87
913,36,110.88
916,52,156.75
918,14,43.37
920,53,159.5
922,52,156.63
923,36,111.38
924,26,78.5
925,52,155.87
926,53,161.5
927,14,42.0
930,36,110.26
932,14,42.74
933,36,110.26
934,14,41.75
936,52,157.25
939,36,109.38
940,26,78.5
941,52,157.24
942,26,80.25
944,14,41.75
945,36,111.38
947,52,156.0
949,36,110.0
950,13,41.38
951,14,42.25
952,52,158.12
954,52,153.37
956,52,155.87
957,14,42.0
958,14,43.0
959,52,155.12
960,14,42.0
961,26,78.38
964,36,110.38
966,53,160.5
967,52,156.63
969,26,79.75
970,52,156.13
972,14,41.87
974,52,155.12
975,52,155.62
976,53,161.5
977,36,110.88
981,53,159.5
982,52,158.5
983,52,157.5
984,52,154.37
985,52,155.75
986,52,155.75
987,53,160.5
990,52,157.62
991,36,110.88
992,53,161.5
994,36,110.0
995,36,110.64
996,14,42.0
997,13,42.12
998,26,79.0
999,13,41.38
1001,14,42.25
1002,14,42.49
1003,52,155.38
1004,36,110.76
1005,53,161.5
1006,36,111.38
1007,53,161.5
1009,53,159.62
1010,14,42.37
1011,53,159.5
1012,36,110.88
1013,53,161.5
1014,26,76.88
1015,13,41.88
1016,36,110.88
1017,14,42.25
1018,53,161.88
1019,14,42.5
1022,26,80.13
1024,26,80.13
1025,53,161.0
1026,53,161.38
1027,53,158.0
1028,14,42.87
1029,53,161.5
1030,14,41.75
1032,53,162.0
1033,26,78.0
1034,26,80.0
1035,13,41.12
1036,52,156.75
1037,52,157.25
1038,53,159.12
1039,52,157.62
1040,52,157.25
1042,14,42.87
1043,53,158.5
1044,52,156.49
1045,53,161.5
1046,14,42.5
1047,52,157.62
1048,53,160.0
1049,64,189.37
1050,52,153.37
1052,14,42.37
1053,36,111.14
1055,52,155.5
1056,52,155.87
1060,36,109.38
1061,13,41.88
1062,26,79.63
1066,52,157.62
1068,36,109.88
1069,13,41.38
1070,52,156.37
1071,36,110.26
1073,53,161.0
1074,53,161.0
1076,52,158.25
1077,52,155.12
1079,14,41.5
1080,36,110.38
1081,36,110.64
1082,26,77.5
1083,14,42.37
1084,53,161.0
1085,36,110.76
1088,26,78.88
1092,26,79.13
1094,14,42.62
1096,53,161.5
1097,36,110.26
1098,64,190.0
1099,26,78.0
1100,52,157.13
1101,36,110.88
1102,14,42.37
1103,26,79.25
1105,52,155.87
1106,14,43.0
1107,14,41.87
1108,36,109.88
1109,53,160.5
1111,14,42.62
1113,52,157.25
1114,52,154.25
1115,36,111.14
1116,53,160.62
1117,52,154.62
1118,26,78.76
1119,52,155.25
1120,36,110.88
1121,53,158.0
1124,53,160.24
1125,52,154.5
1126,53,159.12
1127,26,77.38
1128,13,41.88
1131,36,110.26
1132,14,43.37
1133,53,160.62
1135,52,155.87
1136,36,111.0
1137,52,157.63
1138,52,156.13
1140,53,158.88
1143,36,111.26
1148,14,42.37
1150,53,159.0
1152,64,191.24
1154,36,111.38
1156,14,42.5
1157,52,154.25
1158,14,42.74
1160,14,42.5
1161,26,79.12
1162,36,109.88
1163,52,153.63
1164,64,191.25
1165,52,155.87
1166,13,42.0
1167,52,157.37
1171,52,155.5
1172,14,41.5
1173,14,42.0
1175,14,41.87
1177,14,42.12
1179,52,156.87
1180,36,110.88
1182,53,158.62
1184,26,79.37
1185,14,42.0
1188,52,153.37
1190,52,155.75
1191,53,160.12
1192,14,42.75
1193,36,110.88
1195,36,111.26
1196,53,159.0
1198,14,42.5
1200,36,110.76
1201,53,160.12
1202,36,110.38
1203,36,109.88
1204,53,160.12
1206,36,111.26
1207,64,194.0
1210,36,109.88
1211,52,156.63
1212,52,154.88
1215,53,161.12
1216,14,41.5
1217,13,41.0
1218,52,156.37
1219,14,42.75
1220,52,157.5
1221,14,41.75
1224,14,41.87
1225,36,110.26
1226,52,153.75
1228,53,161.38
1231,64,193.13
1233,52,157.37
1234,14,42.5
1235,36,111.38
1237,53,161.5
1238,36,110.76
1239,52,155.88
1240,52,154.63
1241,36,109.88
1242,13,41.62
1243,52,156.13
1244,36,109.88
1245,53,158.5
1246,36,110.38
1248,36,110.26
1249,36,109.76
1250,13,41.0
1251,26,78.99
1252,26,78.38
1254,52,157.5
1255,13,41.5
1256,53,160.88
1257,36,110.26
1258,14,41.5
1259,36,111.38
1260,26,78.62
1263,13,41.0
1264,13,41.88
1265,36,110.88
1267,53,161.5
1268,52,157.13
1269,36,110.88
1270,36,110.38
1273,52,157.62
1275,36,110.26
1277,53,158.12
1278,26,77.0
1279,14,42.87
1280,53,161.12
1281,52,157.62
1282,53,158.5
1283,53,161.5
1285,14,42.12
1286,14,41.75
1288,53,161.62
1289,64,194.01
1291,36,110.38
1292,36,110.88
1293,52,154.88
1294,53,160.24
1295,26,79.5
1296,14,41.75
1297,14,42.37
1298,53,161.88
1299,14,42.25
1301,36,110.26
1303,36,110.88
1304,52,156.63
1306,53,161.5
1307,53,161.88
1308,36,110.88
1309,14,41.5
1310,36,111.26
1311,14,42.12
1312,26,78.13
1314,64,193.25
1315,14,42.62
1317,13,41.38
1318,52,155.75
1319,52,157.88
1321,53,159.5
1322,53,159.5
1324,52,157.24
1329,52,157.37
1331,52,155.5
1333,14,42.62
1334,53,159.62
1336,53,160.24
1338,53,161.88
1340,36,111.26
1344,26,80.38
1346,36,109.88
1349,52,157.13
1350,36,111.38
1352,53,161.88
1355,52,155.38
1356,52,155.88
1358,14,42.5
1360,53,161.5
1361,14,42.37
1362,52,157.37
1363,53,161.12
1364,52,157.88
1367,53,160.62
1368,14,42.62
1369,14,42.5
1371,52,153.37
1372,52,155.87
1373,53,161.12
1374,36,109.38
1375,26,80.13
1377,14,42.25
1379,52,156.5
1380,52,153.5
1382,36,110.38
1383,26,79.5
1387,52,156.62
1389,53,160.62
1390,52,154.62
1391,52,155.88
1392,36,110.0
1394,36,110.26
1395,52,157.0
1396,52,153.37
1397,26,78.5
1399,52,155.49
1401,53,159.5
1402,36,110.38
1403,52,156.75
1405,36,110.88
1407,36,109.88
1408,53,161.38
1409,14,42.62
1411,14,42.62
1412,53,160.62
1415,14,42.74
1417,14,43.0
1419,64,192.0
1420,14,41.62
1421,26,79.38
1422,13,41.62
1423,13,42.0
1424,13,41.88
1425,52,157.25
1427,52,153.37
1428,52,156.63
1430,13,40.88
1431,36,110.64
1433,36,110.88
1434,14,41.75
1435,14,42.87
1436,52,155.25
1438,36,111.0
1439,52,154.75
1440,14,42.74
1441,36,110.26
1443,13,40.62
1445,52,156.75
1446,52,155.38
1447,14,43.0
1448,36,110.88
1449,14,42.74
1453,52,156.5
1457,52,157.63
1458,14,42.75
1459,53,161.62
1460,26,79.37
1461,64,195.0
1464,14,41.87
1465,53,161.62
1466,52,155.25
1467,64,193.88
1468,13,42.0
1469,52,155.12
1471,14,41.75
1472,13,40.62
1473,26,80.0
1474,36,111.0
1475,36,109.88
1477,52,157.63
1478,52,157.75
1479,52,154.25
1480,14,41.75
1481,52,156.13
1482,36,111.0
1483,36,109.88
1484,26,78.25
1485,13,41.88
1486,52,155.88
1487,52,155.0
1489,52,154.5
1492,52,157.63
1494,14,41.87
1495,52,155.5
1496,53,159.5
1497,52,157.0
1499,64,192.13
1501,26,80.75
1502,14,41.5
1503,52,156.75
1504,14,42.12
1506,36,109.38
1507,52,155.62
1509,14,41.87
1513,14,42.37
1514,53,161.0
1515,26,80.38
1516,53,160.0
1520,53,159.5
1522,36,110.64
1523,13,40.74
1525,53,161.5
1527,53,159.38
1529,26,77.63
1533,14,42.0
1534,14,43.49
1535,52,153.63
1537,36,110.14
1539,13,41.24
1541,52,157.88
1542,14,41.87
1543,36,110.26
1544,26,79.87
1545,53,159.62
1546,36,111.38
1547,26,78.37
1548,52,155.49
1549,14,43.37
1550,53,161.0
1551,14,41.87
1552,26,78.0
1553,26,78.88
1554,52,155.49
1555,36,110.88
1556,52,157.62
1557,52,155.75
1558,36,110.38
1560,52,153.5
1562,52,156.75
1563,64,193.13
1564,14,41.75
1568,52,153.37
1569,14,41.75
1572,53,161.38
1573,53,160.62
1574,36,109.38
1576,36,110.38
1577,36,110.88
1578,53,160.5
1580,36,110.76
1581,36,109.76
1582,52,154.88
1583,52,157.63
1585,52,154.62
1586,14,42.62
1587,26,79.75
1588,52,155.87
1590,26,80.25
1591,53,161.38
1592,36,109.38
1594,14,41.5
1595,53,161.12
1596,14,41.75
1597,26,79.75
1598,52,156.49
1599,14,42.75
1601,14,42.0
1602,53,160.5
1604,14,42.12
1605,36,111.0
1606,26,78.25
1607,36,110.26
1608,13,42.0
1609,36,109.88
1611,14,41.75
1612,52,157.25
1613,52,154.63
1614,53,161.88
1615,53,157.12
1617,14,42.25
1618,53,159.0
1619,14,43.0
1621,36,110.88
1622,53,159.0
1623,36,110.38
1624,52,158.25
1625,53,160.5
1627,14,42.87
1628,53,159.74
1630,26,78.13
1631,53,160.5
1633,53,159.5
1635,53,161.88
1638,53,160.62
1639,52,153.37
1640,36,109.88
1641,53,159.12
1642,64,191.37
1644,53,161.88
1645,52,157.13
1646,36,110.26
1647,36,110.76
1648,36,110.26
1649,14,42.0
1650,52,155.62
1651,26,79.62
1653,53,161.62
1654,53,159.5
1655,13,41.0
1656,13,41.12
1657,52,155.62
1658,36,109.88
1659,14,42.74
1661,26,79.38
1662,53,160.5
1664,26,80.12
1665,53,160.5
1666,13,41.0
1667,52,154.37
1668,36,110.26
1669,52,157.75
1670,52,155.5
1671,36,110.38
1673,52,154.62
1674,14,42.99
1675,14,42.0
1676,53,157.12
1677,53,160.5
1678,52,156.75
1680,52,156.75
1681,52,152.5
1682,26,78.76
1683,64,191.88
1684,14,42.87
1687,14,42.37
1689,26,79.88
1691,52,155.62
1692,14,42.5
1693,14,42.75
1694,36,110.38
1696,14,42.25
1697,26,78.62
1698,14,42.5
1700,52,157.5
1701,36,110.38
1702,52,156.5
1703,26,77.37
1704,36,111.38
1706,52,156.5
1707,36,110.76
1708,52,155.75
1709,14,42.87
1710,52,154.88
1712,26,78.87
1714,64,193.13
1716,52,156.63
1718,14,42.37
1719,13,41.5
1720,36,111.0
1721,14,42.0
1722,64,193.13
1724,53,160.24
1725,14,42.25
1727,26,80.13
1728,53,161.0
1729,36,111.0
1731,52,156.13
1732,52,156.49
1733,52,156.37
1734,52,154.25
1735,14,42.37
1736,53,159.74
1737,14,42.62
1739,52,156.87
1740,53,161.88
1744,64,193.13
1745,36,110.0
1746,64,193.0
1747,64,194.25
1749,52,156.5
1751,36,111.0
1752,52,154.75
1753,26,79.25
1754,52,156.63
1755,36,111.0
1756,52,157.0
1757,52,155.49
1758,52,155.12
1760,14,43.12
1761,52,155.38
1762,36,111.0
1763,26,77.0
1764,36,111.38
1766,26,79.99
1767,36,109.88
1768,14,42.75
1770,13,41.38
1771,36,110.38
1772,14,42.37
1774,52,154.75
1775,53,158.5
1778,64,195.0
1779,52,156.37
1780,52,155.5
1782,14,42.0
1783,14,42.62
1784,52,158.5
1786,53,160.12
1787,52,156.63
1789,13,41.0
1790,26,78.76
1792,36,110.26
1794,64,191.37
1797,52,155.12
1798,36,111.38
1799,36,110.38
1800,13,41.38
1801,52,156.5
1802,14,42.0
1803,26,76.76
1804,53,159.5
1805,64,189.12
1807,14,42.74
1809,53,161.0
1812,52,153.63
1813,36,110.76
1814,26,78.63
1815,52,156.63
1816,53,158.12
1818,64,194.13
1821,26,79.01
1822,26,80.37
1823,52,154.62
1824,53,159.5
1826,14,42.75
1827,53,158.38
1829,26,80.12
1830,36,109.38
1833,52,158.5
1834,36,111.26
1835,52,157.0
1836,52,155.38
1837,13,41.88
1839,36,110.0
1842,64,193.76
1844,64,191.88
1845,52,156.0
1847,36,110.88
1849,52,156.75
1850,14,41.75
1852,14,41.87
1853,52,156.37
1854,36,111.26
1856,14,42.62
1857,53,160.62
1858,64,192.0
1859,26,78.88
1860,14,42.37
1862,52,156.75
1863,52,156.49
1864,52,157.25
1865,64,192.0
1866,53,161.0
1867,13,41.24
1868,36,110.0
1869,52,154.62
1870,36,109.38
1871,36,110.88
1873,36,109.88
1875,52,156.87
1876,52,156.75
1878,36,111.0
1880,52,157.24
1881,14,42.25
1882,52,157.63
1883,14,42.12
1885,36,110.88
1886,53,158.12
1888,53,160.62
1890,64,191.12
1892,53,160.12
1893,36,109.26
1898,52,157.62
1900,53,161.88
1903,26,78.88
1905,36,110.64
1907,14,41.5
1908,52,157.0
1909,52,156.87
1911,13,41.88
1912,52,157.75
1915,52,154.25
1916,14,42.37
1918,14,42.75
1922,26,78.87
1924,52,155.38
1927,52,154.62
1928,52,156.75
1929,52,158.25
1931,36,110.0
1932,36,110.88
1933,52,155.75
1934,36,110.88
1935,52,153.75
1936,53,160.12
1937,36,110.76
1938,53,160.88
1939,36,111.0
1940,36,111.0
1941,13,41.38
1943,52,153.63
1944,64,193.0
1945,52,156.75
1947,36,111.26
1948,36,110.38
1949,14,42.75
1950,52,155.12
1951,52,157.37
1952,14,41.5
1954,26,80.0
1955,26,79.63
1956,36,110.76
1960,14,42.12
1961,52,156.49
1962,52,153.5
1965,52,155.75
1966,53,160.88
1967,52,157.5
1968,52,156.37
1969,36,111.38
1970,26,79.74
1971,26,79.5
1972,64,192.88
1973,53,159.62
1974,14,41.75
1975,52,155.62
1976,36,111.38
1979,13,41.88
1980,53,158.0
1981,26,77.38
1982,14,42.37
1985,14,42.5
1986,52,156.75
1987,64,193.12
1989,14,43.12
1992,14,42.12
1993,26,79.01
1994,14,42.12
1995,52,154.25
1996,52,155.88
1997,53,158.5
1998,36,110.88
1999,36,110.88
2000,13,40.12
2003,14,42.5
2007,36,110.38
2008,36,110.38
2009,26,78.5
2010,14,42.37
2012,14,42.74
2013,52,157.24
2014,36,111.38
2015,13,40.5
2016,52,157.37
2017,13,41.5
2018,52,157.37
2019,52,155.87
2020,36,111.26
2021,52,153.37
2022,53,160.24
2023,52,154.62
2024,52,156.63
2025,53,160.5
2026,26,77.0
2027,36,110.38
2031,53,160.12
2032,14,41.75
2034,53,161.5
2035,52,155.38
2036,52,155.88
2037,52,155.75
2038,36,110.38
2040,64,191.25
2041,52,154.75
2044,52,155.75
2045,52,157.62
2046,52,156.5
2048,36,110.88
2049,26,79.37
2051,36,109.38
2052,36,109.26
2053,14,42.12
2054,36,110.26
2055,52,158.12
2056,52,156.75
2057,53,160.62
2060,52,156.37
2061,14,42.5
2062,26,79.0
2064,53,159.12
2065,52,154.75
2068,14,41.75
